query,search_type,page,author_count
Incubators,relevance,1,2.0
Incubators,relevance,2,2.0
Infusion Pumps,pubdate_desc,1,5.5
Infusion Pumps,pubdate_desc,2,3.5
Infusion Pumps,relevance,1,2.5
Infusion Pumps,relevance,2,1.5
Insulin signal transduction pathway,pubdate_desc,1,5.5
Insulin signal transduction pathway,pubdate_desc,2,7.5
Insulin signal transduction pathway,relevance,1,2.0
Insulin signal transduction pathway,relevance,2,3.0
Interneurons ,pubdate_desc,1,7.0
Interneurons ,pubdate_desc,2,4.5
Interneurons ,relevance,1,3.5
Interneurons ,relevance,2,2.5
Intrauterine Devices,pubdate_desc,1,6.5
Intrauterine Devices,pubdate_desc,2,3.0
Intrauterine Devices,relevance,1,1.0
Intrauterine Devices,relevance,2,2.0
JAK-STAT signalling pathway,pubdate_desc,1,7.5
JAK-STAT signalling pathway,pubdate_desc,2,5.5
JAK-STAT signalling pathway,relevance,1,4.0
JAK-STAT signalling pathway,relevance,2,2.5
Jublia,pubdate_desc,1,3.5
Jublia,pubdate_desc,2,4.5
Jublia,relevance,1,2.5
Jublia,relevance,2,2.5
Kawasaki disease,pubdate_desc,1,9.0
Kawasaki disease,pubdate_desc,2,7.0
Kawasaki disease,relevance,1,2.0
Kawasaki disease,relevance,2,2.0
Ketoprofen,pubdate_desc,1,7.5
Ketoprofen,pubdate_desc,2,4.5
Ketoprofen,relevance,1,3.0
Ketoprofen,relevance,2,3.0
Language skills,pubdate_desc,1,3.0
Language skills,pubdate_desc,2,3.5
Language skills,relevance,1,3.0
Language skills,relevance,2,2.5
Lasers,pubdate_desc,1,7.0
Lasers,pubdate_desc,2,7.0
Lasers,relevance,1,1.0
Lasers,relevance,2,2.5
Legionella pneumophila,pubdate_desc,1,7.5
Legionella pneumophila,pubdate_desc,2,7.0
Legionella pneumophila,relevance,1,3.0
Legionella pneumophila,relevance,2,3.0
Leptospira interrogans,pubdate_desc,1,6.5
Leptospira interrogans,pubdate_desc,2,6.0
Leptospira interrogans,relevance,1,6.0
Leptospira interrogans,relevance,2,6.0
Letrozole,pubdate_desc,1,7.0
Letrozole,pubdate_desc,2,8.5
Letrozole,relevance,1,17.5
Letrozole,relevance,2,16.0
Lichen planus,pubdate_desc,1,4.0
Lichen planus,pubdate_desc,2,3.5
Lichen planus,relevance,1,2.5
Lichen planus,relevance,2,2.5
Listeria monocytogenes,pubdate_desc,1,4.0
Listeria monocytogenes,pubdate_desc,2,5.5
Listeria monocytogenes,relevance,1,3.0
Listeria monocytogenes,relevance,2,3.0
Lupus nephritis,pubdate_desc,1,7.5
Lupus nephritis,pubdate_desc,2,9.0
Lupus nephritis,relevance,1,3.0
Lupus nephritis,relevance,2,3.0
MAPK/ERK signalling pathway,pubdate_desc,1,6.0
MAPK/ERK signalling pathway,pubdate_desc,2,7.5
MAPK/ERK signalling pathway,relevance,1,5.5
MAPK/ERK signalling pathway,relevance,2,8.0
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,1,4.0
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,2,5.0
Malignant Peripheral Nerve Sheath Tumors,relevance,1,3.5
Malignant Peripheral Nerve Sheath Tumors,relevance,2,3.5
Masks,pubdate_desc,1,6.5
Masks,pubdate_desc,2,6.5
Masks,relevance,1,6.0
Masks,relevance,2,4.0
McArdle Disease,pubdate_desc,1,11.5
McArdle Disease,pubdate_desc,2,7.0
McArdle Disease,relevance,1,5.5
McArdle Disease,relevance,2,3.5
Mirror Neurons ,pubdate_desc,1,4.5
Mirror Neurons ,pubdate_desc,2,4.5
Mirror Neurons ,relevance,1,3.0
Mirror Neurons ,relevance,2,1.0
Molnupiravir,pubdate_desc,1,5.5
Molnupiravir,pubdate_desc,2,5.5
Molnupiravir,relevance,1,6.5
Molnupiravir,relevance,2,5.0
Morgellons,pubdate_desc,1,3.0
Morgellons,pubdate_desc,2,4.0
Morgellons,relevance,1,3.5
Morgellons,relevance,2,2.0
Moyamoya,pubdate_desc,1,9.0
Moyamoya,pubdate_desc,2,9.0
Moyamoya,relevance,1,3.5
Moyamoya,relevance,2,2.5
Muckle-Wells Syndrome,pubdate_desc,1,6.5
Muckle-Wells Syndrome,pubdate_desc,2,5.5
Muckle-Wells Syndrome,relevance,1,3.0
Muckle-Wells Syndrome,relevance,2,4.5
Muscle Cells ,pubdate_desc,1,5.5
Muscle Cells ,pubdate_desc,2,7.0
Muscle Cells ,relevance,1,4.0
Muscle Cells ,relevance,2,3.5
Myasthenia gravis,pubdate_desc,1,5.5
Myasthenia gravis,pubdate_desc,2,7.5
Myasthenia gravis,relevance,1,2.0
Myasthenia gravis,relevance,2,3.0
Mycobacterium leprae,pubdate_desc,1,6.0
Mycobacterium leprae,pubdate_desc,2,5.0
Mycobacterium leprae,relevance,1,2.5
Mycobacterium leprae,relevance,2,2.5
Mycoplasma pneumoniae,pubdate_desc,1,9.5
Mycoplasma pneumoniae,pubdate_desc,2,7.0
Mycoplasma pneumoniae,relevance,1,3.5
Mycoplasma pneumoniae,relevance,2,4.0
Myeloid Cells ,pubdate_desc,1,9.0
Myeloid Cells ,pubdate_desc,2,7.5
Myeloid Cells ,relevance,1,3.0
Myeloid Cells ,relevance,2,4.5
Myocarditis,pubdate_desc,1,6.0
Myocarditis,pubdate_desc,2,8.0
Myocarditis,relevance,1,4.5
Myocarditis,relevance,2,4.0
Ménière's disease,pubdate_desc,1,5.0
Ménière's disease,pubdate_desc,2,5.0
Ménière's disease,relevance,1,2.0
Ménière's disease,relevance,2,3.0
Nafarelin,pubdate_desc,1,3.5
Nafarelin,pubdate_desc,2,5.0
Nafarelin,relevance,1,2.5
Nafarelin,relevance,2,4.0
Nebulizers,pubdate_desc,1,6.5
Nebulizers,pubdate_desc,2,7.0
Nebulizers,relevance,1,3.0
Nebulizers,relevance,2,4.5
Neisseria gonorrhoeae,pubdate_desc,1,9.0
Neisseria gonorrhoeae,pubdate_desc,2,8.5
Neisseria gonorrhoeae,relevance,1,3.0
Neisseria gonorrhoeae,relevance,2,3.0
"Neoplastic Cells, Circulating",pubdate_desc,1,9.5
"Neoplastic Cells, Circulating",pubdate_desc,2,5.0
"Neoplastic Cells, Circulating",relevance,1,3.5
"Neoplastic Cells, Circulating",relevance,2,3.0
Nerve Fibers ,pubdate_desc,1,7.0
Nerve Fibers ,pubdate_desc,2,4.5
Nerve Fibers ,relevance,1,2.5
Nerve Fibers ,relevance,2,4.0
Neural Analyzers ,pubdate_desc,1,5.0
Neural Analyzers ,pubdate_desc,2,5.5
Neural Analyzers ,relevance,1,1.0
Neural Analyzers ,relevance,2,1.5
Neurofibrils,pubdate_desc,1,6.0
Neurofibrils,pubdate_desc,2,3.5
Neurofibrils,relevance,1,1.0
Neurofibrils,relevance,2,2.0
Neuroglia,pubdate_desc,1,7.5
Neuroglia,pubdate_desc,2,5.5
Neuroglia,relevance,1,2.0
Neuroglia,relevance,2,3.0
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,7.0
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2,9.0
Neuromyelitis Optica Spectrum Disorder,relevance,1,3.0
Neuromyelitis Optica Spectrum Disorder,relevance,2,3.5
Neurons,pubdate_desc,1,5.5
Neurons,pubdate_desc,2,5.0
Neurons,relevance,1,2.0
Neurons,relevance,2,2.5
"Neurons, Afferent ",pubdate_desc,1,4.5
"Neurons, Afferent ",pubdate_desc,2,5.0
"Neurons, Afferent ",relevance,1,2.0
"Neurons, Afferent ",relevance,2,2.5
"Neurons, Efferent",pubdate_desc,1,9.0
"Neurons, Efferent",pubdate_desc,2,10.5
"Neurons, Efferent",relevance,1,2.5
"Neurons, Efferent",relevance,2,2.0
Neuropil ,pubdate_desc,1,4.0
Neuropil ,pubdate_desc,2,4.0
Neuropil ,relevance,1,3.5
Neuropil ,relevance,2,5.0
Nissl Bodies ,pubdate_desc,1,6.5
Nissl Bodies ,pubdate_desc,2,7.0
Nissl Bodies ,relevance,1,7.5
Nissl Bodies ,relevance,2,2.0
Nitrergic Neurons ,pubdate_desc,1,7.5
Nitrergic Neurons ,pubdate_desc,2,5.0
Nitrergic Neurons ,relevance,1,5.5
Nitrergic Neurons ,relevance,2,4.5
Nodal signalling pathway,pubdate_desc,1,6.0
Nodal signalling pathway,pubdate_desc,2,6.5
Nodal signalling pathway,relevance,1,2.5
Nodal signalling pathway,relevance,2,3.5
Notch signalling pathway,pubdate_desc,1,5.5
Notch signalling pathway,pubdate_desc,2,6.0
Notch signalling pathway,relevance,1,5.5
Notch signalling pathway,relevance,2,2.0
Occlusive Dressings,pubdate_desc,1,5.0
Occlusive Dressings,pubdate_desc,2,5.5
Occlusive Dressings,relevance,1,2.0
Occlusive Dressings,relevance,2,2.5
Ord's thyroiditis,pubdate_desc,1,4.0
Ord's thyroiditis,relevance,1,4.0
Otoscopes,pubdate_desc,1,4.0
Otoscopes,pubdate_desc,2,5.0
Otoscopes,relevance,1,4.0
Otoscopes,relevance,2,4.5
Oxazepam,pubdate_desc,1,6.5
Oxazepam,pubdate_desc,2,4.5
Oxazepam,relevance,1,1.0
Oxazepam,relevance,2,2.5
Oxygenators,pubdate_desc,1,6.0
Oxygenators,pubdate_desc,2,8.0
Oxygenators,relevance,1,3.0
Oxygenators,relevance,2,3.5
Oxyphil Cells,pubdate_desc,1,7.0
Oxyphil Cells,pubdate_desc,2,3.0
Oxyphil Cells,relevance,1,3.5
Oxyphil Cells,relevance,2,4.5
PI3K/AKT/mTOR signalling pathway,pubdate_desc,1,10.0
PI3K/AKT/mTOR signalling pathway,pubdate_desc,2,8.0
PI3K/AKT/mTOR signalling pathway,relevance,1,4.0
PI3K/AKT/mTOR signalling pathway,relevance,2,3.0
Pachygyria,pubdate_desc,1,6.0
Pachygyria,pubdate_desc,2,5.5
Pachygyria,relevance,1,8.0
Pachygyria,relevance,2,7.5
Pachyonychia Congenita,pubdate_desc,1,6.0
Pachyonychia Congenita,pubdate_desc,2,4.0
Pachyonychia Congenita,relevance,1,2.0
Pachyonychia Congenita,relevance,2,3.5
Pallister-Hall Syndrome,pubdate_desc,1,9.0
Pallister-Hall Syndrome,pubdate_desc,2,4.5
Pallister-Hall Syndrome,relevance,1,2.5
Pallister-Hall Syndrome,relevance,2,5.0
Pallister-Killian Syndrome,pubdate_desc,1,9.5
Pallister-Killian Syndrome,pubdate_desc,2,7.5
Pallister-Killian Syndrome,relevance,1,3.0
Pallister-Killian Syndrome,relevance,2,8.0
Pancreatic Stellate Cells,pubdate_desc,1,11.0
Pancreatic Stellate Cells,pubdate_desc,2,6.5
Pancreatic Stellate Cells,relevance,1,4.0
Pancreatic Stellate Cells,relevance,2,6.0
Panhypopituitarism,pubdate_desc,1,7.5
Panhypopituitarism,pubdate_desc,2,7.5
Panhypopituitarism,relevance,1,4.0
Panhypopituitarism,relevance,2,3.0
Papillon-Lefevre Syndrome,pubdate_desc,1,7.0
Papillon-Lefevre Syndrome,pubdate_desc,2,5.0
Papillon-Lefevre Syndrome,relevance,1,3.5
Papillon-Lefevre Syndrome,relevance,2,4.0
Paramyotonia Congenita,pubdate_desc,1,4.0
Paramyotonia Congenita,pubdate_desc,2,4.0
Paramyotonia Congenita,relevance,1,2.5
Paramyotonia Congenita,relevance,2,4.0
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,4.5
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2,5.0
Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,3.0
Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,4.5
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1,6.0
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2,7.5
Paraneoplastic Limbic Encephalitis (PLE),relevance,1,5.0
Paraneoplastic Limbic Encephalitis (PLE),relevance,2,3.5
Parapsoriasis,pubdate_desc,1,6.0
Parapsoriasis,pubdate_desc,2,5.5
Parapsoriasis,relevance,1,2.0
Parapsoriasis,relevance,2,2.0
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,1,4.5
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,2,7.5
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,1,4.5
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,2,4.5
Peripartum Cardiomyopathy,pubdate_desc,1,8.5
Peripartum Cardiomyopathy,pubdate_desc,2,5.0
Peripartum Cardiomyopathy,relevance,1,3.0
Peripartum Cardiomyopathy,relevance,2,2.0
Perphenazine,pubdate_desc,1,6.0
Perphenazine,pubdate_desc,2,6.5
Perphenazine,relevance,1,3.5
Perphenazine,relevance,2,2.0
Phagocytes ,pubdate_desc,1,8.0
Phagocytes ,pubdate_desc,2,8.5
Phagocytes ,relevance,1,2.5
Phagocytes ,relevance,2,1.5
Primary sclerosing cholangitis,pubdate_desc,1,5.0
Primary sclerosing cholangitis,pubdate_desc,2,6.5
Primary sclerosing cholangitis,relevance,1,4.0
Primary sclerosing cholangitis,relevance,2,2.0
Pseudomonas aeruginosa,pubdate_desc,1,6.5
Pseudomonas aeruginosa,pubdate_desc,2,7.0
Pseudomonas aeruginosa,relevance,1,5.5
Pseudomonas aeruginosa,relevance,2,2.0
Purkinje Cells ,pubdate_desc,1,7.5
Purkinje Cells ,pubdate_desc,2,8.5
Purkinje Cells ,relevance,1,3.0
Purkinje Cells ,relevance,2,4.5
Pyramidal Cells,pubdate_desc,1,8.5
Pyramidal Cells,pubdate_desc,2,6.0
Pyramidal Cells,relevance,1,2.5
Pyramidal Cells,relevance,2,4.0
Quetiapine,pubdate_desc,1,9.0
Quetiapine,pubdate_desc,2,3.0
Quetiapine,relevance,1,4.0
Quetiapine,relevance,2,3.0
Rheumatoid arthritis,pubdate_desc,1,8.0
Rheumatoid arthritis,pubdate_desc,2,9.0
Rheumatoid arthritis,relevance,1,2.0
Rheumatoid arthritis,relevance,2,1.5
Rickettsia rickettsii,pubdate_desc,1,6.0
Rickettsia rickettsii,pubdate_desc,2,5.0
Rickettsia rickettsii,relevance,1,6.0
Rickettsia rickettsii,relevance,2,5.5
Rubber Dams,pubdate_desc,1,3.5
Rubber Dams,pubdate_desc,2,4.5
Rubber Dams,relevance,1,3.0
Rubber Dams,relevance,2,2.0
Rufinamide,pubdate_desc,1,4.5
Rufinamide,pubdate_desc,2,4.5
Rufinamide,relevance,1,1.5
Rufinamide,relevance,2,3.0
Safe housing,pubdate_desc,1,6.5
Safe housing,pubdate_desc,2,5.0
Safe housing,relevance,1,5.5
Safe housing,relevance,2,4.5
Salmonella typhi,pubdate_desc,1,7.5
Salmonella typhi,pubdate_desc,2,4.5
Salmonella typhi,relevance,1,2.0
Salmonella typhi,relevance,2,9.0
Sarcoidosis,pubdate_desc,1,5.5
Sarcoidosis,pubdate_desc,2,5.5
Sarcoidosis,relevance,1,3.0
Sarcoidosis,relevance,2,3.5
Saxagliptin,pubdate_desc,1,6.5
Saxagliptin,pubdate_desc,2,5.5
Saxagliptin,relevance,1,2.0
Saxagliptin,relevance,2,3.0
Scleritis,pubdate_desc,1,5.5
Scleritis,pubdate_desc,2,5.0
Scleritis,relevance,1,4.0
Scleritis,relevance,2,3.0
Serotonergic Neurons ,pubdate_desc,1,7.5
Serotonergic Neurons ,pubdate_desc,2,7.5
Serotonergic Neurons ,relevance,1,5.0
Serotonergic Neurons ,relevance,2,4.0
Shigella sonnei,pubdate_desc,1,7.5
Shigella sonnei,pubdate_desc,2,6.5
Shigella sonnei,relevance,1,4.0
Shigella sonnei,relevance,2,7.0
Sjogren’s Syndrome,pubdate_desc,1,7.5
Sjogren’s Syndrome,pubdate_desc,2,7.0
Sjogren’s Syndrome,relevance,1,3.0
Sjogren’s Syndrome,relevance,2,2.5
Smith-Magenis Syndrome,pubdate_desc,1,6.0
Smith-Magenis Syndrome,pubdate_desc,2,5.0
Smith-Magenis Syndrome,relevance,1,2.0
Smith-Magenis Syndrome,relevance,2,5.5
Staphylococcus aureus,pubdate_desc,1,10.0
Staphylococcus aureus,pubdate_desc,2,9.0
Staphylococcus aureus,relevance,1,2.5
Staphylococcus aureus,relevance,2,5.0
Streptococcus agalactiae,pubdate_desc,1,6.5
Streptococcus agalactiae,pubdate_desc,2,5.0
Streptococcus agalactiae,relevance,1,4.0
Streptococcus agalactiae,relevance,2,7.0
Suprachiasmatic Nucleus Neurons ,pubdate_desc,1,8.5
Suprachiasmatic Nucleus Neurons ,pubdate_desc,2,5.5
Suprachiasmatic Nucleus Neurons ,relevance,1,2.5
Suprachiasmatic Nucleus Neurons ,relevance,2,3.5
Surgical Mesh,pubdate_desc,1,6.0
Surgical Mesh,pubdate_desc,2,5.0
Surgical Mesh,relevance,1,2.0
Surgical Mesh,relevance,2,2.5
Syringes,pubdate_desc,1,6.0
Syringes,pubdate_desc,2,7.0
Syringes,relevance,1,3.5
Syringes,relevance,2,3.5
Syringomyelia,pubdate_desc,1,5.0
Syringomyelia,pubdate_desc,2,3.0
Syringomyelia,relevance,1,2.0
Syringomyelia,relevance,2,3.0
Systemic Capillary Leak Syndrome,pubdate_desc,1,5.0
Systemic Capillary Leak Syndrome,pubdate_desc,2,7.0
Systemic Capillary Leak Syndrome,relevance,1,4.5
Systemic Capillary Leak Syndrome,relevance,2,5.5
TFE3-Associated Neurodevelopmental Disorder,pubdate_desc,1,3.0
TFE3-Associated Neurodevelopmental Disorder,relevance,1,3.0
TGF beta signalling pathway,pubdate_desc,1,7.5
TGF beta signalling pathway,pubdate_desc,2,7.5
TGF beta signalling pathway,relevance,1,2.0
TGF beta signalling pathway,relevance,2,3.0
TLR signalling pathway,pubdate_desc,1,5.5
TLR signalling pathway,pubdate_desc,2,6.5
TLR signalling pathway,relevance,1,2.0
TLR signalling pathway,relevance,2,4.0
Transverse myelitis,pubdate_desc,1,6.5
Transverse myelitis,pubdate_desc,2,6.5
Transverse myelitis,relevance,1,4.0
Transverse myelitis,relevance,2,2.0
