pmid	publication_types	grant_id	grant_acronym	grant_country	grant_agency	us_gov_funding	other_funding	covid
15157788	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D016454:Review					True	True	False
1516073	D016428:Journal Article; D016454:Review					False	False	False
15198516	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
15203098	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
15219742	D016428:Journal Article; D016454:Review					False	False	False
15237717	D002363:Case Reports; D016428:Journal Article					False	False	False
15244052	D016428:Journal Article; D016454:Review					False	False	False
15271259	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
15276614	D016428:Journal Article; D016454:Review					False	False	False
1531576	D003160:Comparative Study; D016428:Journal Article; D016454:Review					False	False	False
15321061	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
1533022	D016430:Clinical Trial; D003160:Comparative Study; D016428:Journal Article; D016449:Randomized Controlled Trial					False	False	False
15412926	D016428:Journal Article					False	False	False
15460184	D002363:Case Reports; D016428:Journal Article; D016454:Review					False	False	False
15474167	D016428:Journal Article; D016454:Review					False	False	False
15482145	D016428:Journal Article; D016454:Review					False	False	False
15494017	D016428:Journal Article; D016454:Review					False	False	False
15541453	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	U54-HD 31398-08	HD	United States	NICHD NIH HHS	True	False	False
15560044	D016428:Journal Article; D016454:Review					False	False	False
15561980	D016428:Journal Article					False	False	False
15569636	D016428:Journal Article; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	False	False
15585605	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
15585754	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	CA74821	CA	United States	NCI NIH HHS	True	True	False
15615640	D016428:Journal Article; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review	AG020506	AG	United States	NIA NIH HHS	True	False	False
15647704	D016430:Clinical Trial; D016428:Journal Article; D016449:Randomized Controlled Trial					False	False	False
15661179	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
15674907	D016428:Journal Article; D017418:Meta-Analysis; D016454:Review; D000078182:Systematic Review					False	False	False
15683856	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
15708228	D002363:Case Reports; D016428:Journal Article					False	False	False
15729452	D016421:Editorial					False	False	False
15784165	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
15789099	D016422:Letter; D016420:Comment					False	False	False
1580592	D016428:Journal Article; D016454:Review					False	False	False
15808749	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
15829953	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	True	False
15830730	D016428:Journal Article					False	False	False
1584406	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D016454:Review					True	True	False
15911722	D016428:Journal Article; D016454:Review					False	False	False
15911869	D016428:Journal Article; D016454:Review					False	False	False
15950720	D019215:Biography; D002363:Case Reports; D016456:Historical Article; D016428:Journal Article; D019477:Portrait					False	False	False
15967190	D016428:Journal Article; D016454:Review					False	False	False
15976491	D016428:Journal Article; D016454:Review					False	False	False
15991152	D016428:Journal Article; D016454:Review					False	False	False
16006187	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16007388	D016428:Journal Article; D016454:Review					False	False	False
16007608	D002363:Case Reports; D016428:Journal Article; D016454:Review					False	False	False
1601328	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16018246	D016428:Journal Article; D016454:Review					False	False	False
16021111	D016428:Journal Article; D016454:Review					False	False	False
1603322	D016428:Journal Article; D016454:Review					False	False	False
16034321	D023362:Evaluation Study; D016428:Journal Article					False	False	False
16034865	D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
16035191	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16038370	D016430:Clinical Trial; D003160:Comparative Study; D016428:Journal Article; D016449:Randomized Controlled Trial; D013485:Research Support, Non-U.S. Gov't					False	True	False
16039337	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.; D016454:Review					True	True	False
16054257	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16099076	D002363:Case Reports; D004740:English Abstract; D016428:Journal Article					False	False	False
16108911	D016428:Journal Article; D016454:Review					False	False	False
16114982	D016428:Journal Article; D016454:Review					False	False	False
1613686	D002363:Case Reports; D016428:Journal Article; D016454:Review					False	False	False
16162134	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16163580	D002363:Case Reports; D004740:English Abstract; D016428:Journal Article					False	False	False
16172379	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D013487:Research Support, U.S. Gov't, P.H.S.	R56 AI038424	AI	United States	NIAID NIH HHS	True	True	False
16180037	D003160:Comparative Study; D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't	R01DC03275	DC	United States	NIDCD NIH HHS	True	True	False
16238012	D016421:Editorial	R37 AI021657	AI	United States	NIAID NIH HHS	True	False	False
16250205	D016428:Journal Article; D016454:Review					False	False	False
16271648	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16274258	D016428:Journal Article; D016454:Review					False	False	False
16285967	D016428:Journal Article; D016454:Review					False	False	False
16288295	D016428:Journal Article; D013486:Research Support, U.S. Gov't, Non-P.H.S.; D016454:Review					True	False	False
16301166	D016420:Comment; D016421:Editorial; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16318602	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16318691	D023362:Evaluation Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
16333375	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16344617	D016428:Journal Article; D016454:Review					False	False	False
16356719	D016428:Journal Article; D016454:Review					False	False	False
16370945	D016428:Journal Article; D016454:Review					False	False	False
16413170	D016428:Journal Article; D016454:Review					False	False	False
16421729	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013486:Research Support, U.S. Gov't, Non-P.H.S.	DC-00385	DC	United States	NIDCD NIH HHS	True	False	False
16454006	D016428:Journal Article					False	False	False
16455502	D016428:Journal Article; D016454:Review					False	False	False
16489838	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16503196	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D016454:Review	T32 GM008347	GM	United States	NIGMS NIH HHS	True	True	False
16603397	D003160:Comparative Study; D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D013486:Research Support, U.S. Gov't, Non-P.H.S.	T32 GM007753	GM	United States	NIGMS NIH HHS	True	True	False
16620426	D016428:Journal Article; D016454:Review					False	False	False
16644370	D016420:Comment; D003160:Comparative Study; D016422:Letter					False	False	False
16645757	D016428:Journal Article; D016454:Review					False	False	False
16689791	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D013486:Research Support, U.S. Gov't, Non-P.H.S.	R01 GM056120	GM	United States	NIGMS NIH HHS	True	True	False
16698304	D016428:Journal Article; D016454:Review					False	False	False
16704343	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D016454:Review	I01 BX000513	BX	United States	BLRD VA	True	True	False
16715686	D016428:Journal Article; D016454:Review					False	False	False
1671999	D016421:Editorial					False	False	False
1674265	D003160:Comparative Study; D016428:Journal Article; D016454:Review					False	False	False
16760307	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D016454:Review	R01 AI045728	AI	United States	NIAID NIH HHS	True	True	False
16776222	D016428:Journal Article; D016454:Review					False	False	False
16782156	D016428:Journal Article; D016454:Review					False	False	False
16797851	D003160:Comparative Study; D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
1683448	D016422:Letter					False	False	False
16845551	D016428:Journal Article; D016454:Review					False	False	False
16875143	D016428:Journal Article; D016454:Review					False	False	False
16903434	D016428:Journal Article					False	False	False
16907806	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
16921404	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review	G0200457	MRC_	United Kingdom	Medical Research Council	False	True	False
1693735	D016428:Journal Article; D016454:Review					False	False	False
1693736	D016428:Journal Article; D016454:Review					False	False	False
16941427	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
16950827	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
16953653	D023362:Evaluation Study; D016428:Journal Article; D016454:Review					False	False	False
16970875	D016428:Journal Article; D016454:Review					False	False	False
16972354	D016420:Comment; D016422:Letter					False	False	False
16972357	D016422:Letter; D013485:Research Support, Non-U.S. Gov't					False	True	False
16988537	D016428:Journal Article; D016449:Randomized Controlled Trial					False	False	False
16999876	D016428:Journal Article; D016454:Review					False	False	False
17010734	D016428:Journal Article; D016454:Review					False	False	False
1702187	D003160:Comparative Study; D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
17022615	D016428:Journal Article; D016454:Review					False	False	False
17029270	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
17038011	D016428:Journal Article					False	False	False
17045106	D016428:Journal Article; D016454:Review					False	False	False
17052510	D016422:Letter					False	False	False
17052516	D016420:Comment; D016421:Editorial; D016454:Review					False	False	False
17163811	D016428:Journal Article; D016454:Review					False	False	False
17183209	D016428:Journal Article; D016454:Review					False	False	False
17191303	D016428:Journal Article; D016454:Review					False	False	False
17192810	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
17199032	D016428:Journal Article; D016454:Review					False	False	False
17221826	D003160:Comparative Study; D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
17275323	D016428:Journal Article; D016454:Review					False	False	False
17312100	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D016454:Review	P30 CA 21765	CA	United States	NCI NIH HHS	True	True	False
17316369	D016428:Journal Article; D016454:Review					False	False	False
17330592	D016420:Comment; D016422:Letter					False	False	False
17362357	D016428:Journal Article; D016454:Review					False	False	False
17367622	D016420:Comment; D016422:Letter					False	False	False
17370389	D016428:Journal Article; D016454:Review					False	False	False
17390257	D016428:Journal Article; D016454:Review					False	False	False
17395730	D016428:Journal Article; D016454:Review					False	False	False
17400084	D016428:Journal Article; D016454:Review					False	False	False
17425469	D016421:Editorial; D016454:Review					False	False	False
17435122	D016428:Journal Article; D016454:Review					False	False	False
17437498	D003160:Comparative Study; D016428:Journal Article; D016449:Randomized Controlled Trial					False	False	False
17440311	D016428:Journal Article; D016454:Review					False	False	False
17443543	D003160:Comparative Study; D016428:Journal Article; D016454:Review; D000078182:Systematic Review					False	False	False
17452966	D016428:Journal Article; D016454:Review					False	False	False
17455340	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't					False	True	False
17455592	D016428:Journal Article; D016454:Review					False	False	False
17484191	D016428:Journal Article; D016454:Review					False	False	False
17487199	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural	AG01228	AG	United States	NIA NIH HHS	True	False	False
17490850	D003160:Comparative Study; D016428:Journal Article; D016454:Review					False	False	False
17495758	D016428:Journal Article; D016454:Review					False	False	False
17531613	D016428:Journal Article; D016454:Review					False	False	False
17531986	D016428:Journal Article; D052061:Research Support, N.I.H., Extramural; D013485:Research Support, Non-U.S. Gov't; D016454:Review	5R01AI40694	AI	United States	NIAID NIH HHS	True	True	False
17541445	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review					False	True	False
17561575	D016422:Letter					False	False	False
17582565	D016428:Journal Article; D013485:Research Support, Non-U.S. Gov't; D016454:Review			United Kingdom	Wellcome Trust	False	True	False
17584406	D016428:Journal Article					False	False	False
17585592	D004740:English Abstract; D016428:Journal Article; D016454:Review					False	False	False
1758781	D016428:Journal Article; D016454:Review					False	False	False
