pmid,query,search_type,page,LastAuthFirstName,LastAuthLastName,FirstAuthLastName,FirstAuthFirstName,gender_last_author,p_last_author_female,p_last_author_male,gender_first_author,p_first_author_female,p_first_author_male,firstauthor_percent_white,firstauthor_percent_black,firstauthor_percent_asian,firstauthor_percent_american_indian_alaskan_native,firstauthor_percent_multi_race,firstauthor_percent_hispanic,lastauthor_percent_white,lastauthor_percent_black,lastauthor_percent_asian,lastauthor_percent_american_indian_alaskan_native,lastauthor_percent_multi_race,lastauthor_percent_hispanic
30347298,Moyamoya,relevance,2,Masaki,Mandai,Inayama,Yoshihide,male,0.03,0.97,male,0.01,0.99,,,,,,,,,,,,
18232331,Moyamoya,relevance,2,Isao,Date,Tokunaga,Koji,male,0.01,0.99,male,0.01,0.99,6.7,(S),82.65,(S),8.02,2.5,47.44,11.54,33.97,(S),4.97,(S)
34469866,Moyamoya,relevance,2,Min,Park,Letchuman,Vijay,male,0.43,0.57,male,0.01,0.99,,,,,,,30.06,0.82,66.3,0.2,1.77,0.85
32643683,Moyamoya,relevance,2,Boby Varkey,Maramattom,Maramattom,Boby Varkey,male,0.07,0.93,,,,,,,,,,,,,,,
16941427,Moyamoya,relevance,2,P,Schmiedek,Peña-Tapia,G,male,0.24,0.76,male,0.26,0.74,,,,,,,,,,,,
12760172,Moyamoya,relevance,2,Nadia,Kahn,Yonekawa,Yasuhiro,female,0.98,0.02,male,0,1,,,,,,,88.13,1.56,5.4,0.42,2.49,1.99
33539822,Moyamoya,relevance,2,Rod,Foroozan,Rodriguez,Sean Michael,male,0.03,0.97,,,,5.52,0.54,0.58,0.24,0.41,92.7,,,,,,
3048657,Moyamoya,relevance,2,T,Enomoto,Maki,Y,male,0.39,0.61,male,0.26,0.74,92.61,0.61,3.35,1.11,1.44,0.87,6.23,(S),81.89,(S),9.81,1.89
32030929,Moyamoya,relevance,2,V,D'Orio,Angelozzi,V,female,0.77,0.23,female,0.77,0.23,97.37,0,0,0,(S),(S),,,,,,
35500358,Moyamoya,pubdate_desc,1,Kouji,Harada,Nakamura,Yasuhisa,male,0.01,0.99,male,0,1,5.82,0.09,84.55,0.18,7.4,1.96,8.57,(S),80.75,(S),6.7,3.33
35413541,Moyamoya,pubdate_desc,1,Hatasu,Kobayashi,Ahmed,Sharif,male,0.33,0.67,male,0.02,0.98,13.68,12.48,56.29,0.26,15.72,1.57,5.7,(S),85.79,(S),6.63,1.75
35512575,Moyamoya,pubdate_desc,1,Xian-Kun,Tu,Chen,Jing-Yi,,,,,,,1.68,0.36,95.45,0.02,2,0.49,1.83,(S),94.3,(S),2.48,0.85
35502663,Moyamoya,pubdate_desc,1,Lisa,Sun,Gatti,John,female,0.98,0.02,male,0.01,0.99,93.45,(S),0.96,(S),1.42,3.64,2.78,0.18,93.46,0.33,2.5,0.76
35430511,Moyamoya,pubdate_desc,1,Susumu,Miyamoto,Oichi,Yuki,male,0,1,female,0.6,0.4,,,,,,,7.01,(S),82.34,(S),7.78,2.5
35427840,Moyamoya,pubdate_desc,1,Yuji,Nakamoto,Fukushima,Yasuhiro,male,0.03,0.97,male,0,1,4.59,0.5,84.13,0,8.58,2.2,5.84,(S),81.49,(S),8.84,3.71
35367845,Moyamoya,pubdate_desc,1,Souvik,Dubey,Das,Shambaditya,male,0,1,male,0,1,17.32,1.08,72.06,0.23,8,1.31,69.33,(S),24.49,(S),3.05,1.96
35311740,Moyamoya,pubdate_desc,1,Kuniaki,Ogasawara,Kimura,Kazuto,male,0,1,male,0,1,7.28,(S),82.89,(S),6.91,2.7,4.09,0,87.42,0,6.6,1.89
34780101,Moyamoya,pubdate_desc,1,Nobuhito,Saito,Amemiya,Shiori,male,0,1,female,0.98,0.02,10.58,0,82.69,0,6.73,0,8.32,(S),77.3,(S),5.49,7.49
34716882,Moyamoya,pubdate_desc,1,Nobuhito,Saito,Ishigami,Daiichiro,male,0,1,male,0,1,,,,,,,8.32,(S),77.3,(S),5.49,7.49
35605621,Moyamoya,pubdate_desc,2,Akio,Koizumi,Ihara,Masafumi,male,0.03,0.97,male,0,1,7.53,0,85.36,0,7.11,0,6.25,(S),84.09,0,8.52,(S)
35588715,Moyamoya,pubdate_desc,2,James,Klaas,Kumar,Mukaish,male,0.01,0.99,,,,5.13,0.7,83.83,0.32,8.87,1.16,97.56,(S),0.42,(S),0.84,1.01
35595656,Moyamoya,pubdate_desc,2,José-Joaquín,Alfaro-Martínez,Moya-Moya,Antonio José,,,,,,,,,,,,,,,,,,
35578209,Moyamoya,pubdate_desc,2,Lin,Wang,Hu,Junwen,female,0.63,0.37,male,0.12,0.88,1.72,(S),95.51,(S),1.61,0.9,3.25,0.19,94.47,0.03,1.73,0.33
34744103,Moyamoya,pubdate_desc,2,Yoshiki,Sekijima,Takahashi,Yusuke,male,0.02,0.98,male,0,1,5.03,(S),86.3,(S),6.64,1.93,,,,,,
35569986,Moyamoya,pubdate_desc,2,Kaoru,Dohi,Goto,Itaru,female,0.56,0.44,male,0,1,5.81,0.75,28.31,0.17,2.24,62.73,,,,,,
35567597,Moyamoya,pubdate_desc,2,Dianna,Milewicz,Kaw,Anita,female,0.94,0.06,female,0.98,0.02,15.63,(S),77.5,(S),(S),0,,,,,,
35545931,Moyamoya,pubdate_desc,2,Taketo,Hatano,Ando,Mitsushige,male,0.02,0.98,male,0,1,31.55,(S),61.13,(S),4.11,2.77,5.74,(S),86.89,0,6.56,(S)
35543128,Moyamoya,pubdate_desc,2,Jizong,Zhao,Xue,Yimeng,,,,female,0.63,0.37,0.55,(S),97.58,0,1.45,(S),0.49,0.1,98.38,0,0.87,0.15
35333329,Moyamoya,pubdate_desc,2,K,Atagi,Takemoto,K,male,0.34,0.66,male,0.34,0.66,6.27,(S),81.77,(S),7.62,4.05,,,,,,
30695970,Morgellons,relevance,1,Steven,Feldman,Aung-Din,David,male,0.01,0.99,male,0.01,0.99,,,,,,,96.36,0.47,0.38,0.08,0.92,1.78
19878403,Morgellons,relevance,1,Roland,Freudenmann,Harth,Wolfgang,male,0.01,0.99,male,0.01,0.99,90.18,6.32,(S),(S),1.17,1.75,,,,,,
34755952,Morgellons,relevance,1,Steven,Feldman,Beuerlein,Katherine,male,0.01,0.99,female,0.98,0.02,97.93,(S),0,0,0,(S),96.36,0.47,0.38,0.08,0.92,1.78
33435739,Morgellons,relevance,1,Steven,Henry,Nunziato,Carl,male,0.01,0.99,male,0.02,0.98,95.27,(S),(S),0.82,1.79,1.96,65.06,28.76,0.57,1.71,2,1.9
33342168,Morgellons,relevance,1,John,Koo,Chan,Stephanie,male,0.01,0.99,female,0.98,0.02,2.72,0.54,91.01,0.04,2.82,2.87,6.38,(S),88.42,(S),2.89,1.65
27789971,Morgellons,relevance,1,Raphael,Stricker,Middelveen,Marianne,male,0.01,0.99,female,0.99,0.01,,,,,,,94.86,0.42,0.26,1.69,1.04,1.73
31750635,Morgellons,relevance,1,Rick,Hoekzema,van der Bent,Sebastiaan,male,0.01,0.99,male,0,1,,,,,,,96.86,(S),(S),0,0,(S)
28392653,Morgellons,relevance,1,Kyu Han,Kim,Ohn,Jungyoon,male,0.16,0.84,female,0.76,0.24,,,,,,,2.6,0.36,94.52,0.03,1.99,0.5
29467580,Morgellons,relevance,1,Raphael,Stricker,Middelveen,Marianne,male,0.01,0.99,female,0.99,0.01,,,,,,,94.86,0.42,0.26,1.69,1.04,1.73
34917368,Morgellons,relevance,1,Daniel,Molloy,Zhang,Jeff,male,0.01,0.99,male,0.01,0.99,0.61,0.09,98.16,0.02,0.96,0.16,95.72,0.5,0.59,0.24,1.12,1.83
29706457,Morgellons,relevance,2,Luis,Gutiérrez-Rojas,Carrillo de Albornoz Calahorro,Carmen Maura,male,0.01,0.99,,,,,,,,,,,,,,,
29641827,Morgellons,relevance,2,Christopher,Chu,Chu,Christopher,male,0.01,0.99,male,0.01,0.99,2.47,(S),93.37,(S),2.76,1.22,2.47,(S),93.37,(S),2.76,1.22
18318880,Morgellons,relevance,2,John,Koo,Accordino,Robert,male,0.01,0.99,male,0.01,0.99,95.08,(S),(S),(S),(S),3.28,6.38,(S),88.42,(S),2.89,1.65
31836115,Morgellons,relevance,2,Jaime,Badilla,Ma,Jingyi,male,0.03,0.97,female,0.9,0.1,2.42,0.44,94,0.05,1.76,1.33,11.84,(S),8.82,(S),2.04,76.62
30446193,Morgellons,relevance,2,Sanna,Ronkainen,Hylwa,Sara,female,0.92,0.08,female,0.98,0.02,,,,,,,,,,,,
17367622,Morgellons,relevance,2,William,Harvey,Harvey,William,male,0.01,0.99,male,0.01,0.99,70.7,24.11,0.41,1.56,1.65,1.58,70.7,24.11,0.41,1.56,1.65,1.58
17052510,Morgellons,relevance,2,William,Burke,Waddell,Andrea,male,0.01,0.99,male,0.38,0.62,82.81,13.87,0.38,0.28,1.14,1.53,87.74,8.4,0.48,0.49,1.31,1.57
16489838,Morgellons,relevance,2,Raphael,Stricker,Savely,Virginia,male,0.01,0.99,female,0.99,0.01,91.55,4.36,(S),(S),1.91,1.91,94.86,0.42,0.26,1.69,1.04,1.73
29853755,Morgellons,relevance,2,Francesco,Piscioli,Roncati,Luca,male,0.01,0.99,male,0.04,0.96,,,,,,,,,,,,
17052516,Morgellons,relevance,2,Caroline,Koblenzer,Koblenzer,Caroline,female,0.98,0.02,female,0.98,0.02,,,,,,,,,,,,
35076344,Morgellons,pubdate_desc,1,Steven,Feldman,Balogh,Esther,male,0.01,0.99,female,0.99,0.01,94.99,0.37,0.35,0.37,1.55,2.36,96.36,0.47,0.38,0.08,0.92,1.78
34917368,Morgellons,pubdate_desc,1,Daniel,Molloy,Zhang,Jeff,male,0.01,0.99,male,0.01,0.99,0.61,0.09,98.16,0.02,0.96,0.16,95.72,0.5,0.59,0.24,1.12,1.83
33435739,Morgellons,pubdate_desc,1,Steven,Henry,Nunziato,Carl,male,0.01,0.99,male,0.02,0.98,95.27,(S),(S),0.82,1.79,1.96,65.06,28.76,0.57,1.71,2,1.9
35130384,Morgellons,pubdate_desc,1,John,Koo,Starzyk,Tory,male,0.01,0.99,female,0.56,0.44,98.09,(S),(S),0,(S),(S),6.38,(S),88.42,(S),2.89,1.65
34755952,Morgellons,pubdate_desc,1,Steven,Feldman,Beuerlein,Katherine,male,0.01,0.99,female,0.98,0.02,97.93,(S),0,0,0,(S),96.36,0.47,0.38,0.08,0.92,1.78
33986606,Morgellons,pubdate_desc,1,Raphael,Stricker,Middelveen,Marianne,male,0.01,0.99,female,0.99,0.01,,,,,,,94.86,0.42,0.26,1.69,1.04,1.73
33869705,Morgellons,pubdate_desc,1,Paolo,Romanelli,Diaz-Perez,Julio,male,0.01,0.99,male,0.02,0.98,,,,,,,96.54,0,(S),(S),0.77,2.47
33781159,Morgellons,pubdate_desc,1,John,Koo,Cheng,Christian,male,0.01,0.99,male,0.01,0.99,1.46,0.21,95.08,0.03,2.43,0.79,6.38,(S),88.42,(S),2.89,1.65
33342168,Morgellons,pubdate_desc,1,John,Koo,Chan,Stephanie,male,0.01,0.99,female,0.98,0.02,2.72,0.54,91.01,0.04,2.82,2.87,6.38,(S),88.42,(S),2.89,1.65
32845296,Morgellons,pubdate_desc,1,John,Koo,Brownstone,Nicholas,male,0.01,0.99,male,0.01,0.99,83.77,11.69,0,(S),(S),(S),6.38,(S),88.42,(S),2.89,1.65
32845295,Morgellons,pubdate_desc,2,Mohammad,Jafferany,Patel,Arsh,male,0.02,0.98,male,0.11,0.89,1.55,0.26,91.37,0.41,5.84,0.57,,,,,,
32436416,Morgellons,pubdate_desc,2,Umberto,Volpe,Orsolini,Laura,male,0.01,0.99,female,0.98,0.02,,,,,,,95.64,0.25,0.51,0.19,1.02,2.39
32104041,Morgellons,pubdate_desc,2,Raphael,Stricker,Middelveen,Marianne,male,0.01,0.99,female,0.99,0.01,,,,,,,94.86,0.42,0.26,1.69,1.04,1.73
31836115,Morgellons,pubdate_desc,2,Jaime,Badilla,Ma,Jingyi,male,0.03,0.97,female,0.9,0.1,2.42,0.44,94,0.05,1.76,1.33,11.84,(S),8.82,(S),2.04,76.62
31295443,Morgellons,pubdate_desc,2,Kim,O'Connor,Moriarty,Natalie,female,0.56,0.44,female,0.98,0.02,96.97,0.35,0.46,0.24,0.89,1.1,,,,,,
31750635,Morgellons,pubdate_desc,2,Rick,Hoekzema,van der Bent,Sebastiaan,male,0.01,0.99,male,0,1,,,,,,,96.86,(S),(S),0,0,(S)
31597359,Morgellons,pubdate_desc,2,Kenneth,Friedman,Bransfield,Robert,male,0.02,0.98,male,0.01,0.99,96.73,(S),(S),(S),(S),1.92,96.54,0.46,0.4,0.11,1.26,1.22
31108976,Morgellons,pubdate_desc,2,Eva,Sapi,Middelveen,Marianne,female,0.98,0.02,female,0.99,0.01,,,,,,,,,,,,
30709965,Morgellons,pubdate_desc,2,James,Dyck,Naddaf,Elie,male,0.24,0.76,male,0.07,0.93,82.08,(S),(S),0,12.26,4.72,90.08,2.98,(S),(S),1.82,4.52
29706457,Morgellons,pubdate_desc,2,Luis,Gutiérrez-Rojas,Carrillo de Albornoz Calahorro,Carmen Maura,male,0.01,0.99,,,,,,,,,,,,,,,
30556770,Muckle-Wells Syndrome,relevance,1,Sara Sebnem,Kilic,Cekic,Sukru,female,0.98,0.02,male,0.03,0.97,95.38,0,0,0,4.62,0,79.44,(S),0,0,19.51,(S)
34036632,Muckle-Wells Syndrome,relevance,1,Daisuke,Tsuruta,Fukumura,Erina,male,0,1,female,0.98,0.02,,,,,,,5,(S),82.14,(S),8.57,3.57
33161603,Muckle-Wells Syndrome,relevance,1,Mariko,Seishima,Kadowaki,Saori,female,0.9,0.1,female,0.98,0.02,8.78,0,77.7,0,10.14,3.38,,,,,,
25686105,Muckle-Wells Syndrome,relevance,1,Luke,O'Neill,Coll,Rebecca,male,0.01,0.99,female,0.98,0.02,75.41,2.13,0.47,0.23,0.97,20.8,,,,,,
27767278,Muckle-Wells Syndrome,relevance,1,Johannes Martin,Weiss,Weins,Andreas Benedikt,male,0.01,0.99,,,,90.39,(S),(S),1.42,2.14,4.27,96.45,0.36,0.47,0.19,1.08,1.46
21596182,Muckle-Wells Syndrome,relevance,1,Ana,Marco Puche,Calvo Penadés,Inmaculada,female,0.98,0.02,female,0.99,0.01,,,,,,,,,,,,
29773275,Muckle-Wells Syndrome,relevance,1,Helen,Lachmann,Lachmann,Helen,female,0.98,0.02,female,0.98,0.02,92.61,(S),(S),0,2.46,(S),92.61,(S),(S),0,2.46,(S)
32246440,Muckle-Wells Syndrome,relevance,1,Daniela Filipa Marinho,Peixoto,Azevedo,Soraia Raquel Loureiro,female,0.98,0.02,,,,78.9,0.3,1.11,0.68,7.24,11.78,84.98,(S),0.77,(S),8.36,5.73
31077002,Muckle-Wells Syndrome,relevance,1,Hal,Hoffman,Booshehri,Laela,male,0.16,0.84,female,0.99,0.01,,,,,,,95.45,1.11,0.44,0.53,1.04,1.43
21967869,Muckle-Wells Syndrome,relevance,1,Peter,Haeusermann,Mueller,Simon,male,0.01,0.99,male,0.02,0.98,96.96,0.23,0.48,0.18,0.91,1.24,,,,,,
32546426,Muckle-Wells Syndrome,relevance,2,Véronique,Hentgen,Georgin-Lavialle,Sophie,,,,female,0.98,0.02,,,,,,,,,,,,
31057541,Muckle-Wells Syndrome,relevance,2,Pavla,Doležalová,Fingerhutová,Šárka,female,0.99,0.01,,,,,,,,,,,,,,,
28631068,Muckle-Wells Syndrome,relevance,2,Seza,Ozen,Sag,Erdal,female,0.6,0.4,male,0.03,0.97,,,,,,,48.78,40.24,(S),(S),6.71,3.05
29742056,Muckle-Wells Syndrome,relevance,2,Marco,Gattorno,Marzano,Angelo Valerio,male,0.01,0.99,,,,93.69,(S),0.96,(S),1.08,3.89,,,,,,
27707729,Muckle-Wells Syndrome,relevance,2,Susanne,Benseler,Kuemmerle-Deschner,Jasmin,female,0.98,0.02,female,0.9,0.1,,,,,,,,,,,,
28583784,Muckle-Wells Syndrome,relevance,2,Joaquín,Morís de la Tassa,Solís Marquínez,Marta Nataya,male,0,1,,,,,,,,,,,,,,,
28686751,Muckle-Wells Syndrome,relevance,2,Tanya,Ermolovich,Wagener,Marie,female,0.98,0.02,female,0.98,0.02,95.93,0.82,(S),(S),1.12,1.3,,,,,,
25614348,Muckle-Wells Syndrome,relevance,2,N,Eter,Wirths,G,male,0.41,0.59,male,0.26,0.74,96.75,0,(S),0,(S),(S),,,,,,
29382382,Muckle-Wells Syndrome,relevance,2,Sam,Daniel,Marchica,Cinzia,male,0.19,0.81,female,0.99,0.01,99.6,(S),0,0,0,(S),67.02,24.05,2.12,0.58,1.95,4.27
27435956,Muckle-Wells Syndrome,relevance,2,Jose Luis,López Estebaranz,Naz Villalba,Elena,male,0.02,0.98,female,0.99,0.01,,,,,,,,,,,,
35574994,Muckle-Wells Syndrome,pubdate_desc,1,Andy,Wullaert,Frising,Ulrika,male,0.08,0.92,female,0.98,0.02,,,,,,,,,,,,
35548670,Muckle-Wells Syndrome,pubdate_desc,1,Filipa,Oliveira Ramos,Zinterl,Carolina,female,0.97,0.03,female,0.98,0.02,,,,,,,,,,,,
35490273,Muckle-Wells Syndrome,pubdate_desc,1,Ali,Mosayebian,Sherkat,Roya,male,0.05,0.95,female,0.94,0.06,,,,,,,,,,,,
35396080,Muckle-Wells Syndrome,pubdate_desc,1,Massimo,Cugno,Marzano,Angelo Valerio,male,0.01,0.99,,,,93.69,(S),0.96,(S),1.08,3.89,93.64,(S),(S),0,2.97,(S)
35354288,Muckle-Wells Syndrome,pubdate_desc,1,Rudolf,Horváth,Milota,Tomáš,male,0.01,0.99,,,,96.71,(S),(S),(S),(S),(S),,,,,,
35039323,Muckle-Wells Syndrome,pubdate_desc,1,Wolfgang,Weninger,Borst,Carina,male,0.01,0.99,female,0.98,0.02,96.61,0.24,0.51,0.19,0.99,1.47,96,(S),(S),1.14,1.14,1.57
35314925,Muckle-Wells Syndrome,pubdate_desc,1,Keishi,Fujio,Itamiya,Takahiro,male,0.03,0.97,male,0,1,,,,,,,,,,,,
35229164,Muckle-Wells Syndrome,pubdate_desc,1,Koji,Sayama,Shiraishi,Ken,male,0.01,0.99,male,0.02,0.98,6.72,(S),83.88,(S),6.53,2.5,,,,,,
35262642,Muckle-Wells Syndrome,pubdate_desc,1,Sophie,Georgin-Lavialle,Rodrigues,François,female,0.98,0.02,male,0,1,42.83,2.04,3.83,0.25,7.83,43.22,,,,,,
35281325,Muckle-Wells Syndrome,pubdate_desc,1,Vahid,Ziaee,Tahghighi,Fatemeh,male,0.01,0.99,female,0.98,0.02,,,,,,,,,,,,
35339140,Muckle-Wells Syndrome,pubdate_desc,2,Maja,Benko,Kecelj Žgank,Barbara,female,0.97,0.03,female,0.98,0.02,,,,,,,95.73,0.28,0.91,0.4,1.31,1.37
35322991,Muckle-Wells Syndrome,pubdate_desc,2,Ming,Yao,Tao,Jiachun,male,0.26,0.74,male,0.4,0.6,3.24,(S),91.97,(S),3.31,1.11,2.11,1.57,92.9,0,2.5,0.91
34499401,Muckle-Wells Syndrome,pubdate_desc,2,Kahn,Preece,McNaughton,Peter,male,0.05,0.95,male,0.01,0.99,93.24,2.14,0.78,0.88,1.46,1.51,96.75,0.28,0.28,0.43,0.77,1.49
32279586,Muckle-Wells Syndrome,pubdate_desc,2,Peter,Lio,Tegtmeyer,Kyle,male,0.01,0.99,male,0.02,0.98,95.75,(S),(S),(S),1.79,1.57,46.83,(S),38.51,(S),2.63,11.6
34979568,Muckle-Wells Syndrome,pubdate_desc,2,Naoki,Shimojo,Kato,Daigo,male,0.01,0.99,male,0,1,17.62,4.31,68.02,0.48,5.71,3.86,,,,,,
34904355,Muckle-Wells Syndrome,pubdate_desc,2,Michael Constantin,Kirchberger,Wagner,Nicola,male,0.01,0.99,male,0.15,0.85,93.97,2.5,0.43,0.49,1,1.6,99.23,(S),0,0,0,(S)
34947964,Muckle-Wells Syndrome,pubdate_desc,2,Akira,Manki,Matsuo,Toshihiko,male,0.15,0.85,male,0,1,4.61,0,86.3,0,6.27,2.82,,,,,,
34863351,Muckle-Wells Syndrome,pubdate_desc,2,Donald,Vinh,Al-Matar,Shahad,male,0.02,0.98,female,0.92,0.08,,,,,,,2.81,0,94.73,0,1.58,0.88
34878558,Muckle-Wells Syndrome,pubdate_desc,2,Annette Doris,Wagner,Pankow,Anne,female,0.98,0.02,female,0.97,0.03,97.52,(S),0.71,0.64,0.85,(S),93.97,2.5,0.43,0.49,1,1.6
32496361,Muckle-Wells Syndrome,pubdate_desc,2,Didier,Alcaix,Brevet,Pauline,male,0.01,0.99,female,0.98,0.02,,,,,,,,,,,,
30530071,Neuromyelitis Optica Spectrum Disorder,relevance,1,Jia,Geng,Wu,Yan,female,0.63,0.37,male,0.25,0.75,1.32,0.19,95.94,0.02,2,0.52,39.68,(S),54.76,(S),1.72,3.04
33186537,Neuromyelitis Optica Spectrum Disorder,relevance,1,Jacqueline,Palace,Levy,Michael,female,0.98,0.02,male,0.01,0.99,82.6,11.23,0.62,0.17,1.77,3.6,91.23,(S),(S),(S),(S),6.43
33223088,Neuromyelitis Optica Spectrum Disorder,relevance,1,Ilya,Kister,Wallach,Asya Izraelit,male,0.03,0.97,,,,95.36,(S),1.07,(S),1.15,1.98,94.13,(S),1.15,(S),1.58,2.58
30872305,Neuromyelitis Optica Spectrum Disorder,relevance,1,Anu,Jacob,Huda,Saif,female,0.74,0.26,male,0.02,0.98,28.99,(S),61.07,(S),7.49,1.95,67.58,10.05,15.67,1.03,2.55,3.11
33009077,Neuromyelitis Optica Spectrum Disorder,relevance,1,Michael,Levy,Holroyd,Kathryn,male,0.01,0.99,female,0.98,0.02,97.56,(S),(S),0,0.95,0.64,82.6,11.23,0.62,0.17,1.77,3.6
32820020,Neuromyelitis Optica Spectrum Disorder,relevance,1,Takashi,Yamamura,Fujihara,Kazuo,male,0.01,0.99,male,0.01,0.99,6.67,(S),76.67,(S),11.48,4.44,6.03,0,86.58,0,5.48,1.92
32990284,Neuromyelitis Optica Spectrum Disorder,relevance,1,Devipriya,Nagarajan,Ramakrishnan,Pooja,female,1,0,female,0.98,0.02,1.03,(S),95.6,(S),2.93,0,2.14,(S),92.62,(S),4.76,0
33011853,Neuromyelitis Optica Spectrum Disorder,relevance,1,Øivind,Torkildsen,Holmøy,Trygve,male,0,1,male,0,1,,,,,,,,,,,,
33802046,Neuromyelitis Optica Spectrum Disorder,relevance,1,Anna,Pokryszko-Dragan,Waliszewska-Prosół,Marta,female,0.98,0.02,female,0.98,0.02,,,,,,,,,,,,
34006678,Neuromyelitis Optica Spectrum Disorder,relevance,1,Tatsuro,Misu,Misu,Tatsuro,male,0.01,0.99,male,0.01,0.99,,,,,,,,,,,,
34986968,Neuromyelitis Optica Spectrum Disorder,relevance,2,Li-Jian,Pei,Zhang,Xue,,,,female,0.75,0.25,0.61,0.09,98.16,0.02,0.96,0.16,4.42,(S),92.96,0,2.21,(S)
33431266,Neuromyelitis Optica Spectrum Disorder,relevance,2,M,Salari,Etemadifar,M,female,0.6,0.4,female,0.6,0.4,,,,,,,84.97,(S),(S),0,9.83,2.89
28385199,Neuromyelitis Optica Spectrum Disorder,relevance,2,Dean,Wingerchuk,Weinshenker,Brian,male,0.02,0.98,male,0.01,0.99,,,,,,,,,,,,
29383411,Neuromyelitis Optica Spectrum Disorder,relevance,2,F,Paul,Borisow,N,male,0.23,0.77,male,0.41,0.59,,,,,,,73.8,16.16,3.63,1.94,2.6,1.87
31603846,Neuromyelitis Optica Spectrum Disorder,relevance,2,Gabriel,González,Ferrán,Ceila,male,0.02,0.98,female,0.95,0.05,,,,,,,,,,,,
34080180,Neuromyelitis Optica Spectrum Disorder,relevance,2,Simon,Broadley,Clarke,Laura,male,0.02,0.98,female,0.98,0.02,66.14,28.18,0.52,0.4,2.29,2.46,97.34,(S),(S),0,(S),(S)
34711906,Neuromyelitis Optica Spectrum Disorder,relevance,2,Brian,Weinshenker,Pittock,Sean,male,0.01,0.99,male,0.01,0.99,95.1,(S),0,(S),(S),(S),,,,,,
34657404,Neuromyelitis Optica Spectrum Disorder,relevance,2,Zsolt,Illés,Illés,Zsolt,male,0,1,male,0,1,,,,,,,,,,,,
31187587,Neuromyelitis Optica Spectrum Disorder,relevance,2,Kirsten,Kyvik,Asgari,Nasrin,female,0.97,0.03,female,0.96,0.04,76.7,(S),(S),0,15.05,6.31,,,,,,
29066232,Neuromyelitis Optica Spectrum Disorder,relevance,2,Wei,Qiu,Zhong,Xiaonan,male,0.28,0.72,male,0.39,0.61,0.46,(S),98.3,(S),0.85,0.27,0.31,(S),98.45,(S),0.78,0.31
35601378,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,Junde,Luo,Ma,Wenhui,male,0,1,male,0.47,0.53,2.42,0.44,94,0.05,1.76,1.33,1,0.3,97.05,0,1.04,0.6
35316545,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,Shigeki,Aoki,Andica,Christina,male,0,1,female,0.98,0.02,,,,,,,8,(S),81.32,(S),7.95,2.08
35483239,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,Ichiro,Nakashima,Akaishi,Tetsuya,male,0,1,male,0,1,,,,,,,7.22,(S),80.96,(S),7.7,3.82
