query,search_type,page,country
Campylobacter jejuni,pubdate_desc,2,
Campylobacter jejuni,relevance,1,USA
Campylobacter jejuni,relevance,2,USA
Cannula,pubdate_desc,1,
Cannula,pubdate_desc,2,
Cannula,relevance,1,
Cannula,relevance,2,
Chest Tubes,pubdate_desc,1,
Chest Tubes,pubdate_desc,2,
Chest Tubes,relevance,1,USA
Chest Tubes,relevance,2,USA
Chlamydia pneumoniae,pubdate_desc,1,
Chlamydia pneumoniae,pubdate_desc,2,
Chlamydia pneumoniae,relevance,1,USA
Chlamydia pneumoniae,relevance,2,USA
Cholinergic Neurons ,pubdate_desc,1,
Cholinergic Neurons ,pubdate_desc,2,
Cholinergic Neurons ,relevance,1,
Cholinergic Neurons ,relevance,2,USA
Clostridium botulinum,pubdate_desc,1,
Clostridium botulinum,pubdate_desc,2,
Clostridium botulinum,relevance,1,
Clostridium botulinum,relevance,2,USA
Contact Lenses,pubdate_desc,1,
Contact Lenses,pubdate_desc,2,
Contact Lenses,relevance,1,USA
Contact Lenses,relevance,2,USA
Corynebacterium diphtheriae,pubdate_desc,1,
Corynebacterium diphtheriae,pubdate_desc,2,
Corynebacterium diphtheriae,relevance,1,RUSSIA
Corynebacterium diphtheriae,relevance,2,UK
Dalfampridine,pubdate_desc,1,
Dalfampridine,pubdate_desc,2,
Dalfampridine,relevance,1,USA
Dalfampridine,relevance,2,USA
Dendrites ,pubdate_desc,1,
Dendrites ,pubdate_desc,2,
Dendrites ,relevance,1,USA
Dendrites ,relevance,2,USA
Dental Articulators,pubdate_desc,1,
Dental Articulators,pubdate_desc,2,
Dental Articulators,relevance,1,UK
Dental Articulators,relevance,2,INDIA
Dopaminergic Neurons,pubdate_desc,1,
Dopaminergic Neurons,pubdate_desc,2,
Dopaminergic Neurons,relevance,1,
Dopaminergic Neurons,relevance,2,
Drug-Eluting Stents,pubdate_desc,1,
Drug-Eluting Stents,pubdate_desc,2,
Drug-Eluting Stents,relevance,1,
Drug-Eluting Stents,relevance,2,SAUDI ARABIA
Edoxaban,pubdate_desc,1,
Edoxaban,pubdate_desc,2,
Edoxaban,relevance,1,
Edoxaban,relevance,2,
Endometriosis,pubdate_desc,1,
Endometriosis,pubdate_desc,2,
Endometriosis,relevance,1,USA
Endometriosis,relevance,2,FRANCE
Endoscopes,pubdate_desc,1,
Endoscopes,pubdate_desc,2,
Endoscopes,relevance,1,UK
Endoscopes,relevance,2,JAPAN
Enterococcus faecalis,pubdate_desc,1,
Enterococcus faecalis,pubdate_desc,2,
Enterococcus faecalis,relevance,1,TURKEY
Enterococcus faecalis,relevance,2,USA
Eph/ephrin signalling pathway,pubdate_desc,1,
Eph/ephrin signalling pathway,pubdate_desc,2,
Eph/ephrin signalling pathway,relevance,1,FRANCE
Eph/ephrin signalling pathway,relevance,2,USA
Escherichia coli,pubdate_desc,1,
Escherichia coli,pubdate_desc,2,
Escherichia coli,relevance,1,USA
Escherichia coli,relevance,2,USA
Esophageal achalasia,pubdate_desc,1,
Esophageal achalasia,pubdate_desc,2,
Esophageal achalasia,relevance,1,USA
Esophageal achalasia,relevance,2,LITHUANIA
Evans syndrome,pubdate_desc,1,
Evans syndrome,pubdate_desc,2,
Evans syndrome,relevance,1,
Evans syndrome,relevance,2,JAPAN
Felodipine,pubdate_desc,1,
Felodipine,pubdate_desc,2,
Felodipine,relevance,1,USA
Felodipine,relevance,2,USA
Fibromyalgia,pubdate_desc,1,
Fibromyalgia,pubdate_desc,2,
Fibromyalgia,relevance,1,
Fibromyalgia,relevance,2,GERMANY
Flowmeters,pubdate_desc,1,
Flowmeters,pubdate_desc,2,
Flowmeters,relevance,1,USA
Flowmeters,relevance,2,USA
Francisella tularensis,pubdate_desc,1,
Francisella tularensis,pubdate_desc,2,
Francisella tularensis,relevance,1,USA
Francisella tularensis,relevance,2,USA
GABAergic Neurons ,pubdate_desc,1,
GABAergic Neurons ,pubdate_desc,2,
GABAergic Neurons ,relevance,1,
GABAergic Neurons ,relevance,2,GERMANY
Gastric Balloon,pubdate_desc,1,
Gastric Balloon,pubdate_desc,2,
Gastric Balloon,relevance,1,
Gastric Balloon,relevance,2,
Gefitinib,pubdate_desc,1,
Gefitinib,pubdate_desc,2,
Gefitinib,relevance,1,
Gefitinib,relevance,2,UK
Graves' ophthalmopathy,pubdate_desc,1,
Graves' ophthalmopathy,pubdate_desc,2,
Graves' ophthalmopathy,relevance,1,USA
Graves' ophthalmopathy,relevance,2,NETHERLANDS
Grid Cells ,pubdate_desc,1,
Grid Cells ,pubdate_desc,2,
Grid Cells ,relevance,1,NORWAY
Grid Cells ,relevance,2,NORWAY
Guillain–Barré syndrome,pubdate_desc,1,
Guillain–Barré syndrome,pubdate_desc,2,
Guillain–Barré syndrome,relevance,1,
Guillain–Barré syndrome,relevance,2,UK
Haemophilus influenzae,pubdate_desc,1,
Haemophilus influenzae,pubdate_desc,2,
Haemophilus influenzae,relevance,1,USA
Haemophilus influenzae,relevance,2,USA
Hedgehog signalling pathway,pubdate_desc,1,
Hedgehog signalling pathway,pubdate_desc,2,
Hedgehog signalling pathway,relevance,1,SPAIN
Hedgehog signalling pathway,relevance,2,UK
Helicobacter pylori,pubdate_desc,1,
Helicobacter pylori,pubdate_desc,2,
Helicobacter pylori,relevance,1,
Helicobacter pylori,relevance,2,DENMARK
Hippo signalling pathway,pubdate_desc,1,
Hippo signalling pathway,pubdate_desc,2,
Hippo signalling pathway,relevance,1,AUSTRALIA
Hippo signalling pathway,relevance,2,
Hydroxyzine,pubdate_desc,1,
Hydroxyzine,pubdate_desc,2,
Hydroxyzine,relevance,1,USA
Hydroxyzine,relevance,2,USA
Imipramine,pubdate_desc,1,
Imipramine,pubdate_desc,2,
Imipramine,relevance,2,USA
Incubators,pubdate_desc,1,
Incubators,pubdate_desc,2,
Incubators,relevance,1,USA
Incubators,relevance,2,USA
Infusion Pumps,pubdate_desc,1,
Infusion Pumps,pubdate_desc,2,
Infusion Pumps,relevance,1,USA
Infusion Pumps,relevance,2,USA
Insulin signal transduction pathway,pubdate_desc,1,
Insulin signal transduction pathway,pubdate_desc,2,
Insulin signal transduction pathway,relevance,1,USA
Insulin signal transduction pathway,relevance,2,USA
Interneurons ,pubdate_desc,1,
Interneurons ,pubdate_desc,2,
Interneurons ,relevance,1,USA
Interneurons ,relevance,2,USA
Intrauterine Devices,pubdate_desc,1,
Intrauterine Devices,pubdate_desc,2,
Intrauterine Devices,relevance,1,USA
Intrauterine Devices,relevance,2,USA
JAK-STAT signalling pathway,pubdate_desc,1,
JAK-STAT signalling pathway,pubdate_desc,2,
JAK-STAT signalling pathway,relevance,1,USA
JAK-STAT signalling pathway,relevance,2,USA
Jublia,pubdate_desc,1,
Jublia,pubdate_desc,2,
Jublia,relevance,1,
Jublia,relevance,2,CANADA
Kawasaki disease,pubdate_desc,1,
Kawasaki disease,pubdate_desc,2,
Kawasaki disease,relevance,1,
Kawasaki disease,relevance,2,UK
Ketoprofen,pubdate_desc,1,
Ketoprofen,pubdate_desc,2,
Ketoprofen,relevance,1,ITALY
Ketoprofen,relevance,2,USA
Language skills,pubdate_desc,1,
Language skills,pubdate_desc,2,
Language skills,relevance,1,
Language skills,relevance,2,UK
Lasers,pubdate_desc,1,
Lasers,pubdate_desc,2,
Lasers,relevance,1,USA
Lasers,relevance,2,USA
Legionella pneumophila,pubdate_desc,1,
Legionella pneumophila,pubdate_desc,2,
Legionella pneumophila,relevance,1,USA
Legionella pneumophila,relevance,2,USA
Leptospira interrogans,pubdate_desc,1,
Leptospira interrogans,pubdate_desc,2,
Leptospira interrogans,relevance,1,
Leptospira interrogans,relevance,2,
Letrozole,pubdate_desc,1,
Letrozole,pubdate_desc,2,
Letrozole,relevance,1,
Letrozole,relevance,2,
Lichen planus,pubdate_desc,1,
Lichen planus,pubdate_desc,2,
Lichen planus,relevance,1,USA
Lichen planus,relevance,2,USA
Listeria monocytogenes,pubdate_desc,1,
Listeria monocytogenes,pubdate_desc,2,
Listeria monocytogenes,relevance,1,USA
Listeria monocytogenes,relevance,2,FRANCE
Lupus nephritis,pubdate_desc,1,
Lupus nephritis,pubdate_desc,2,
Lupus nephritis,relevance,1,
Lupus nephritis,relevance,2,
MAPK/ERK signalling pathway,pubdate_desc,1,
MAPK/ERK signalling pathway,pubdate_desc,2,
MAPK/ERK signalling pathway,relevance,1,USA
MAPK/ERK signalling pathway,relevance,2,
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,1,
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,2,
Malignant Peripheral Nerve Sheath Tumors,relevance,1,USA
Malignant Peripheral Nerve Sheath Tumors,relevance,2,USA
Masks,pubdate_desc,1,
Masks,pubdate_desc,2,
Masks,relevance,1,SWEDEN
Masks,relevance,2,
McArdle Disease,pubdate_desc,1,
McArdle Disease,pubdate_desc,2,
McArdle Disease,relevance,1,UK
McArdle Disease,relevance,2,UK
Mirror Neurons ,pubdate_desc,1,
Mirror Neurons ,pubdate_desc,2,
Mirror Neurons ,relevance,1,UK
Mirror Neurons ,relevance,2,USA
Molnupiravir,pubdate_desc,1,
Molnupiravir,pubdate_desc,2,
Molnupiravir,relevance,1,
Molnupiravir,relevance,2,
Morgellons,pubdate_desc,1,
Morgellons,pubdate_desc,2,
Morgellons,relevance,1,GERMANY
Morgellons,relevance,2,USA
Moyamoya,pubdate_desc,1,
Moyamoya,pubdate_desc,2,
Moyamoya,relevance,1,USA
Moyamoya,relevance,2,SWITZERLAND
Muckle-Wells Syndrome,pubdate_desc,1,
Muckle-Wells Syndrome,pubdate_desc,2,
Muckle-Wells Syndrome,relevance,1,SWITZERLAND
Muckle-Wells Syndrome,relevance,2,
Muscle Cells ,pubdate_desc,1,
Muscle Cells ,pubdate_desc,2,
Muscle Cells ,relevance,1,FRANCE
Muscle Cells ,relevance,2,SWITZERLAND
Myasthenia gravis,pubdate_desc,1,
Myasthenia gravis,pubdate_desc,2,
Myasthenia gravis,relevance,1,
Myasthenia gravis,relevance,2,USA
Mycobacterium leprae,pubdate_desc,1,
Mycobacterium leprae,pubdate_desc,2,
Mycobacterium leprae,relevance,1,USA
Mycobacterium leprae,relevance,2,JAPAN
Mycoplasma pneumoniae,pubdate_desc,1,
Mycoplasma pneumoniae,pubdate_desc,2,
Mycoplasma pneumoniae,relevance,1,USA
Mycoplasma pneumoniae,relevance,2,USA
Myeloid Cells ,pubdate_desc,1,
Myeloid Cells ,pubdate_desc,2,
Myeloid Cells ,relevance,1,JAPAN
Myeloid Cells ,relevance,2,
Myocarditis,pubdate_desc,1,
Myocarditis,pubdate_desc,2,
Myocarditis,relevance,1,USA
Myocarditis,relevance,2,
Ménière's disease,pubdate_desc,1,
Ménière's disease,pubdate_desc,2,
Ménière's disease,relevance,1,USA
Ménière's disease,relevance,2,USA
Nafarelin,pubdate_desc,1,
Nafarelin,pubdate_desc,2,FINLAND
Nafarelin,relevance,1,USA
Nafarelin,relevance,2,USA
Nebulizers,pubdate_desc,1,
Nebulizers,pubdate_desc,2,
Nebulizers,relevance,1,USA
Nebulizers,relevance,2,USA
Neisseria gonorrhoeae,pubdate_desc,1,
Neisseria gonorrhoeae,pubdate_desc,2,
Neisseria gonorrhoeae,relevance,1,JAPAN
Neisseria gonorrhoeae,relevance,2,USA
"Neoplastic Cells, Circulating",pubdate_desc,1,
"Neoplastic Cells, Circulating",pubdate_desc,2,
"Neoplastic Cells, Circulating",relevance,1,
"Neoplastic Cells, Circulating",relevance,2,
Nerve Fibers ,pubdate_desc,1,
Nerve Fibers ,pubdate_desc,2,
Nerve Fibers ,relevance,1,RUSSIA
Nerve Fibers ,relevance,2,USA
Neural Analyzers ,pubdate_desc,1,
Neural Analyzers ,pubdate_desc,2,ITALY
Neural Analyzers ,relevance,1,USA
Neural Analyzers ,relevance,2,USA
Neurofibrils,pubdate_desc,1,
Neurofibrils,pubdate_desc,2,
Neurofibrils,relevance,1,UK
Neurofibrils,relevance,2,USA
Neuroglia,pubdate_desc,1,
Neuroglia,pubdate_desc,2,
Neuroglia,relevance,1,UK
Neuroglia,relevance,2,USA
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2,
Neuromyelitis Optica Spectrum Disorder,relevance,1,
Neuromyelitis Optica Spectrum Disorder,relevance,2,
Neurons,pubdate_desc,1,
Neurons,pubdate_desc,2,
Neurons,relevance,1,CANADA
Neurons,relevance,2,USA
"Neurons, Afferent ",pubdate_desc,1,
"Neurons, Afferent ",pubdate_desc,2,
"Neurons, Afferent ",relevance,1,USA
"Neurons, Afferent ",relevance,2,USA
"Neurons, Efferent",pubdate_desc,1,
"Neurons, Efferent",pubdate_desc,2,
"Neurons, Efferent",relevance,1,USA
"Neurons, Efferent",relevance,2,USA
Neuropil ,pubdate_desc,1,
Neuropil ,pubdate_desc,2,
Neuropil ,relevance,1,
Neuropil ,relevance,2,USA
Nissl Bodies ,pubdate_desc,1,
Nissl Bodies ,pubdate_desc,2,
Nissl Bodies ,relevance,1,
Nissl Bodies ,relevance,2,
Nitrergic Neurons ,pubdate_desc,1,
Nitrergic Neurons ,pubdate_desc,2,
Nitrergic Neurons ,relevance,1,
Nitrergic Neurons ,relevance,2,USA
Nodal signalling pathway,pubdate_desc,1,
Nodal signalling pathway,pubdate_desc,2,
Nodal signalling pathway,relevance,1,USA
Nodal signalling pathway,relevance,2,USA
Notch signalling pathway,pubdate_desc,1,
Notch signalling pathway,pubdate_desc,2,
Notch signalling pathway,relevance,1,UK
Notch signalling pathway,relevance,2,UK
Occlusive Dressings,pubdate_desc,1,
Occlusive Dressings,pubdate_desc,2,
Occlusive Dressings,relevance,1,USA
Occlusive Dressings,relevance,2,USA
Ord's thyroiditis,pubdate_desc,1,DENMARK
Ord's thyroiditis,relevance,1,DENMARK
Otoscopes,pubdate_desc,1,
Otoscopes,pubdate_desc,2,
Otoscopes,relevance,1,AUSTRALIA
Otoscopes,relevance,2,UK
Oxazepam,pubdate_desc,1,
Oxazepam,pubdate_desc,2,
Oxazepam,relevance,1,USA
Oxazepam,relevance,2,JAPAN
Oxygenators,pubdate_desc,1,
Oxygenators,pubdate_desc,2,
Oxygenators,relevance,1,UK
Oxygenators,relevance,2,USA
Oxyphil Cells,pubdate_desc,1,
Oxyphil Cells,pubdate_desc,2,
Oxyphil Cells,relevance,1,
Oxyphil Cells,relevance,2,UK
PI3K/AKT/mTOR signalling pathway,pubdate_desc,1,
PI3K/AKT/mTOR signalling pathway,pubdate_desc,2,
PI3K/AKT/mTOR signalling pathway,relevance,1,
PI3K/AKT/mTOR signalling pathway,relevance,2,FRANCE
Pachygyria,pubdate_desc,1,
Pachygyria,pubdate_desc,2,
Pachygyria,relevance,1,FINLAND
Pachygyria,relevance,2,TAIWAN
Pachyonychia Congenita,pubdate_desc,1,
Pachyonychia Congenita,pubdate_desc,2,
Pachyonychia Congenita,relevance,1,ISRAEL
Pachyonychia Congenita,relevance,2,USA
Pallister-Hall Syndrome,pubdate_desc,1,
Pallister-Hall Syndrome,pubdate_desc,2,
Pallister-Hall Syndrome,relevance,1,USA
Pallister-Hall Syndrome,relevance,2,USA
Pallister-Killian Syndrome,pubdate_desc,1,
Pallister-Killian Syndrome,pubdate_desc,2,
Pallister-Killian Syndrome,relevance,1,USA
Pallister-Killian Syndrome,relevance,2,
Pancreatic Stellate Cells,pubdate_desc,1,
Pancreatic Stellate Cells,pubdate_desc,2,
Pancreatic Stellate Cells,relevance,1,
Pancreatic Stellate Cells,relevance,2,
Panhypopituitarism,pubdate_desc,1,
Panhypopituitarism,pubdate_desc,2,
Panhypopituitarism,relevance,1,
Panhypopituitarism,relevance,2,
Papillon-Lefevre Syndrome,pubdate_desc,1,
Papillon-Lefevre Syndrome,pubdate_desc,2,
Papillon-Lefevre Syndrome,relevance,1,USA
Papillon-Lefevre Syndrome,relevance,2,INDIA
Paramyotonia Congenita,pubdate_desc,1,
Paramyotonia Congenita,pubdate_desc,2,
Paramyotonia Congenita,relevance,1,JAPAN
Paramyotonia Congenita,relevance,2,JAPAN
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2,
Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,JAPAN
Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,USA
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1,
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2,
Paraneoplastic Limbic Encephalitis (PLE),relevance,1,USA
Paraneoplastic Limbic Encephalitis (PLE),relevance,2,USA
Parapsoriasis,pubdate_desc,1,
Parapsoriasis,pubdate_desc,2,
Parapsoriasis,relevance,1,USA
Parapsoriasis,relevance,2,USA
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,1,
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,2,
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,1,USA
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,2,USA
Peripartum Cardiomyopathy,pubdate_desc,1,
Peripartum Cardiomyopathy,pubdate_desc,2,
Peripartum Cardiomyopathy,relevance,1,
Peripartum Cardiomyopathy,relevance,2,
Perphenazine,pubdate_desc,1,
Perphenazine,pubdate_desc,2,
Perphenazine,relevance,1,USA
Perphenazine,relevance,2,NORWAY
Phagocytes ,pubdate_desc,1,
Phagocytes ,pubdate_desc,2,
Phagocytes ,relevance,1,USA
Phagocytes ,relevance,2,USA
Primary sclerosing cholangitis,pubdate_desc,1,
Primary sclerosing cholangitis,pubdate_desc,2,
Primary sclerosing cholangitis,relevance,1,
Primary sclerosing cholangitis,relevance,2,USA
Pseudomonas aeruginosa,pubdate_desc,1,
Pseudomonas aeruginosa,pubdate_desc,2,
Pseudomonas aeruginosa,relevance,1,INDIA
Pseudomonas aeruginosa,relevance,2,USA
Purkinje Cells ,pubdate_desc,1,
Purkinje Cells ,pubdate_desc,2,
Purkinje Cells ,relevance,1,JAPAN
Purkinje Cells ,relevance,2,USA
Pyramidal Cells,pubdate_desc,1,
Pyramidal Cells,pubdate_desc,2,
Pyramidal Cells,relevance,1,USA
Pyramidal Cells,relevance,2,USA
Quetiapine,pubdate_desc,1,
Quetiapine,pubdate_desc,2,
Quetiapine,relevance,1,
Quetiapine,relevance,2,THAILAND
Rheumatoid arthritis,pubdate_desc,1,
Rheumatoid arthritis,pubdate_desc,2,
Rheumatoid arthritis,relevance,1,USA
Rheumatoid arthritis,relevance,2,JAPAN
Rickettsia rickettsii,pubdate_desc,1,
Rickettsia rickettsii,pubdate_desc,2,
Rickettsia rickettsii,relevance,1,
Rickettsia rickettsii,relevance,2,USA
Rubber Dams,pubdate_desc,1,
Rubber Dams,pubdate_desc,2,
Rubber Dams,relevance,1,
Rubber Dams,relevance,2,USA
Rufinamide,pubdate_desc,1,
Rufinamide,pubdate_desc,2,
Rufinamide,relevance,1,USA
Rufinamide,relevance,2,USA
Safe housing,pubdate_desc,1,
Safe housing,pubdate_desc,2,
Safe housing,relevance,1,
Safe housing,relevance,2,USA
Salmonella typhi,pubdate_desc,1,
Salmonella typhi,pubdate_desc,2,
Salmonella typhi,relevance,1,UK
Salmonella typhi,relevance,2,UK
Sarcoidosis,pubdate_desc,1,
Sarcoidosis,pubdate_desc,2,
Sarcoidosis,relevance,1,USA
Sarcoidosis,relevance,2,USA
Saxagliptin,pubdate_desc,1,
Saxagliptin,pubdate_desc,2,
Saxagliptin,relevance,1,NEW ZEALAND
Saxagliptin,relevance,2,USA
Scleritis,pubdate_desc,1,
Scleritis,pubdate_desc,2,
Scleritis,relevance,1,UK
Scleritis,relevance,2,FRANCE
Serotonergic Neurons ,pubdate_desc,1,
Serotonergic Neurons ,pubdate_desc,2,
Serotonergic Neurons ,relevance,1,
Serotonergic Neurons ,relevance,2,FRANCE
Shigella sonnei,pubdate_desc,1,
Shigella sonnei,pubdate_desc,2,
Shigella sonnei,relevance,1,
Shigella sonnei,relevance,2,ARGENTINA
Sjogren’s Syndrome,pubdate_desc,1,
Sjogren’s Syndrome,pubdate_desc,2,
Sjogren’s Syndrome,relevance,1,USA
Sjogren’s Syndrome,relevance,2,
Smith-Magenis Syndrome,pubdate_desc,1,
Smith-Magenis Syndrome,pubdate_desc,2,
Smith-Magenis Syndrome,relevance,1,USA
Smith-Magenis Syndrome,relevance,2,FRANCE
Staphylococcus aureus,pubdate_desc,1,
Staphylococcus aureus,pubdate_desc,2,
Staphylococcus aureus,relevance,1,USA
Staphylococcus aureus,relevance,2,UK
Streptococcus agalactiae,pubdate_desc,1,
Streptococcus agalactiae,pubdate_desc,2,
Streptococcus agalactiae,relevance,1,USA
Streptococcus agalactiae,relevance,2,FRANCE
Suprachiasmatic Nucleus Neurons ,pubdate_desc,1,
Suprachiasmatic Nucleus Neurons ,pubdate_desc,2,
Suprachiasmatic Nucleus Neurons ,relevance,1,JAPAN
Suprachiasmatic Nucleus Neurons ,relevance,2,USA
Surgical Mesh,pubdate_desc,1,
Surgical Mesh,pubdate_desc,2,
Surgical Mesh,relevance,1,USA
Surgical Mesh,relevance,2,USA
Syringes,pubdate_desc,1,
Syringes,pubdate_desc,2,
Syringes,relevance,1,USA
Syringes,relevance,2,USA
Syringomyelia,pubdate_desc,1,
Syringomyelia,pubdate_desc,2,
Syringomyelia,relevance,1,USA
Syringomyelia,relevance,2,USA
Systemic Capillary Leak Syndrome,pubdate_desc,1,
Systemic Capillary Leak Syndrome,pubdate_desc,2,
Systemic Capillary Leak Syndrome,relevance,1,USA
Systemic Capillary Leak Syndrome,relevance,2,JAPAN
TFE3-Associated Neurodevelopmental Disorder,pubdate_desc,1,
TFE3-Associated Neurodevelopmental Disorder,relevance,1,
TGF beta signalling pathway,pubdate_desc,1,
TGF beta signalling pathway,pubdate_desc,2,
TGF beta signalling pathway,relevance,1,USA
TGF beta signalling pathway,relevance,2,USA
TLR signalling pathway,pubdate_desc,1,
TLR signalling pathway,pubdate_desc,2,
TLR signalling pathway,relevance,1,JAPAN
TLR signalling pathway,relevance,2,UK
Transverse myelitis,pubdate_desc,1,
Transverse myelitis,pubdate_desc,2,
Transverse myelitis,relevance,1,USA
Transverse myelitis,relevance,2,GERMANY
Trihexyphenidyl,pubdate_desc,1,
Trihexyphenidyl,pubdate_desc,2,
Trihexyphenidyl,relevance,1,
Trihexyphenidyl,relevance,2,USA
Trusses,pubdate_desc,1,
Trusses,pubdate_desc,2,
Trusses,relevance,1,UK
Trusses,relevance,2,UK
Upadacitinib,pubdate_desc,1,
Upadacitinib,pubdate_desc,2,
Upadacitinib,relevance,1,
Upadacitinib,relevance,2,
Urinary Catheters,pubdate_desc,1,
Urinary Catheters,pubdate_desc,2,
Urinary Catheters,relevance,1,
Urinary Catheters,relevance,2,
VEGF signalling pathway,pubdate_desc,1,
VEGF signalling pathway,pubdate_desc,2,
VEGF signalling pathway,relevance,1,USA
VEGF signalling pathway,relevance,2,USA
Vasculitis,pubdate_desc,1,
Vasculitis,pubdate_desc,2,
Vasculitis,relevance,1,
Vasculitis,relevance,2,USA
Viloxazine,pubdate_desc,1,
Viloxazine,pubdate_desc,2,
Viloxazine,relevance,1,
Viloxazine,relevance,2,
Warfarin,pubdate_desc,1,
Warfarin,pubdate_desc,2,
Warfarin,relevance,1,USA
Warfarin,relevance,2,USA
Wheelchairs,pubdate_desc,1,
Wheelchairs,pubdate_desc,2,
Wheelchairs,relevance,1,USA
Wheelchairs,relevance,2,USA
Wilson’s Disease,pubdate_desc,1,
Wilson’s Disease,pubdate_desc,2,
Wilson’s Disease,relevance,1,USA
Wilson’s Disease,relevance,2,USA
Wnt signalling pathway,pubdate_desc,1,
Wnt signalling pathway,pubdate_desc,2,
Wnt signalling pathway,relevance,1,USA
Wnt signalling pathway,relevance,2,NETHERLANDS
Xanax,pubdate_desc,1,
Xanax,pubdate_desc,2,
Xanax,relevance,1,USA
Xanax,relevance,2,USA
Zonisamide,pubdate_desc,1,
Zonisamide,pubdate_desc,2,
Zonisamide,relevance,1,USA
Zonisamide,relevance,2,USA
cAMP-dependent pathway,pubdate_desc,1,
cAMP-dependent pathway,pubdate_desc,2,
cAMP-dependent pathway,relevance,1,USA
cAMP-dependent pathway,relevance,2,SWITZERLAND
discrimination,pubdate_desc,1,
discrimination,pubdate_desc,2,
discrimination,relevance,1,USA
discrimination,relevance,2,USA
literacy skills,pubdate_desc,1,
literacy skills,pubdate_desc,2,
literacy skills,relevance,1,
