query,search_type,page,is_english_only
Corynebacterium diphtheriae,pubdate_desc,2,1.0
Corynebacterium diphtheriae,relevance,1,1.0
Corynebacterium diphtheriae,relevance,2,0.9
Dalfampridine,pubdate_desc,1,1.0
Dalfampridine,pubdate_desc,2,1.0
Dalfampridine,relevance,1,1.0
Dalfampridine,relevance,2,1.0
Dendrites ,pubdate_desc,1,1.0
Dendrites ,pubdate_desc,2,1.0
Dendrites ,relevance,1,1.0
Dendrites ,relevance,2,1.0
Dental Articulators,pubdate_desc,1,1.0
Dental Articulators,pubdate_desc,2,1.0
Dental Articulators,relevance,1,0.7
Dental Articulators,relevance,2,0.8
Dopaminergic Neurons,pubdate_desc,1,1.0
Dopaminergic Neurons,pubdate_desc,2,1.0
Dopaminergic Neurons,relevance,1,0.9
Dopaminergic Neurons,relevance,2,1.0
Drug-Eluting Stents,pubdate_desc,1,1.0
Drug-Eluting Stents,pubdate_desc,2,1.0
Drug-Eluting Stents,relevance,1,1.0
Drug-Eluting Stents,relevance,2,1.0
Edoxaban,pubdate_desc,1,1.0
Edoxaban,pubdate_desc,2,1.0
Edoxaban,relevance,1,1.0
Edoxaban,relevance,2,1.0
Endometriosis,pubdate_desc,1,1.0
Endometriosis,pubdate_desc,2,1.0
Endometriosis,relevance,1,1.0
Endometriosis,relevance,2,1.0
Endoscopes,pubdate_desc,1,1.0
Endoscopes,pubdate_desc,2,1.0
Endoscopes,relevance,1,0.9
Endoscopes,relevance,2,1.0
Enterococcus faecalis,pubdate_desc,1,1.0
Enterococcus faecalis,pubdate_desc,2,1.0
Enterococcus faecalis,relevance,1,1.0
Enterococcus faecalis,relevance,2,1.0
Eph/ephrin signalling pathway,pubdate_desc,1,1.0
Eph/ephrin signalling pathway,pubdate_desc,2,0.9
Eph/ephrin signalling pathway,relevance,1,1.0
Eph/ephrin signalling pathway,relevance,2,1.0
Escherichia coli,pubdate_desc,1,1.0
Escherichia coli,pubdate_desc,2,1.0
Escherichia coli,relevance,1,0.9
Escherichia coli,relevance,2,1.0
Esophageal achalasia,pubdate_desc,1,0.9
Esophageal achalasia,pubdate_desc,2,1.0
Esophageal achalasia,relevance,1,0.7
Esophageal achalasia,relevance,2,0.8
Evans syndrome,pubdate_desc,1,1.0
Evans syndrome,pubdate_desc,2,1.0
Evans syndrome,relevance,1,1.0
Evans syndrome,relevance,2,0.9
Felodipine,pubdate_desc,1,1.0
Felodipine,pubdate_desc,2,1.0
Felodipine,relevance,1,0.9
Felodipine,relevance,2,1.0
Fibromyalgia,pubdate_desc,1,1.0
Fibromyalgia,pubdate_desc,2,1.0
Fibromyalgia,relevance,1,0.9
Fibromyalgia,relevance,2,0.5
Flowmeters,pubdate_desc,1,1.0
Flowmeters,pubdate_desc,2,1.0
Flowmeters,relevance,1,1.0
Flowmeters,relevance,2,0.9
Francisella tularensis,pubdate_desc,1,0.8888888888888888
Francisella tularensis,pubdate_desc,2,1.0
Francisella tularensis,relevance,1,1.0
Francisella tularensis,relevance,2,0.9
GABAergic Neurons ,pubdate_desc,1,1.0
GABAergic Neurons ,pubdate_desc,2,1.0
GABAergic Neurons ,relevance,1,1.0
GABAergic Neurons ,relevance,2,1.0
Gastric Balloon,pubdate_desc,1,1.0
Gastric Balloon,pubdate_desc,2,1.0
Gastric Balloon,relevance,1,1.0
Gastric Balloon,relevance,2,0.9
Gefitinib,pubdate_desc,1,1.0
Gefitinib,pubdate_desc,2,1.0
Gefitinib,relevance,1,1.0
Gefitinib,relevance,2,0.8
Graves' ophthalmopathy,pubdate_desc,1,1.0
Graves' ophthalmopathy,pubdate_desc,2,0.9
Graves' ophthalmopathy,relevance,1,0.7
Graves' ophthalmopathy,relevance,2,0.7
Grid Cells ,pubdate_desc,1,1.0
Grid Cells ,pubdate_desc,2,1.0
Grid Cells ,relevance,1,1.0
Grid Cells ,relevance,2,1.0
Guillain–Barré syndrome,pubdate_desc,1,1.0
Guillain–Barré syndrome,pubdate_desc,2,1.0
Guillain–Barré syndrome,relevance,1,1.0
Guillain–Barré syndrome,relevance,2,1.0
Haemophilus influenzae,pubdate_desc,1,1.0
Haemophilus influenzae,pubdate_desc,2,1.0
Haemophilus influenzae,relevance,1,0.9
Haemophilus influenzae,relevance,2,1.0
Hedgehog signalling pathway,pubdate_desc,1,1.0
Hedgehog signalling pathway,pubdate_desc,2,0.8
Hedgehog signalling pathway,relevance,1,1.0
Hedgehog signalling pathway,relevance,2,1.0
Helicobacter pylori,pubdate_desc,1,1.0
Helicobacter pylori,pubdate_desc,2,1.0
Helicobacter pylori,relevance,1,1.0
Helicobacter pylori,relevance,2,0.9
Hippo signalling pathway,pubdate_desc,1,1.0
Hippo signalling pathway,pubdate_desc,2,1.0
Hippo signalling pathway,relevance,1,1.0
Hippo signalling pathway,relevance,2,1.0
Hydroxyzine,pubdate_desc,1,1.0
Hydroxyzine,pubdate_desc,2,0.9
Hydroxyzine,relevance,1,1.0
Hydroxyzine,relevance,2,1.0
Imipramine,pubdate_desc,1,0.9
Imipramine,pubdate_desc,2,1.0
Imipramine,relevance,1,1.0
Imipramine,relevance,2,0.8
Incubators,pubdate_desc,1,1.0
Incubators,pubdate_desc,2,1.0
Incubators,relevance,1,1.0
Incubators,relevance,2,0.9
Infusion Pumps,pubdate_desc,1,1.0
Infusion Pumps,pubdate_desc,2,1.0
Infusion Pumps,relevance,1,0.9
Infusion Pumps,relevance,2,0.8
Insulin signal transduction pathway,pubdate_desc,1,1.0
Insulin signal transduction pathway,pubdate_desc,2,1.0
Insulin signal transduction pathway,relevance,1,1.0
Insulin signal transduction pathway,relevance,2,1.0
Interneurons ,pubdate_desc,1,1.0
Interneurons ,pubdate_desc,2,1.0
Interneurons ,relevance,1,1.0
Interneurons ,relevance,2,1.0
Intrauterine Devices,pubdate_desc,1,1.0
Intrauterine Devices,pubdate_desc,2,1.0
Intrauterine Devices,relevance,1,1.0
Intrauterine Devices,relevance,2,1.0
JAK-STAT signalling pathway,pubdate_desc,1,1.0
JAK-STAT signalling pathway,pubdate_desc,2,1.0
JAK-STAT signalling pathway,relevance,1,1.0
JAK-STAT signalling pathway,relevance,2,1.0
Jublia,pubdate_desc,1,1.0
Jublia,pubdate_desc,2,1.0
Jublia,relevance,1,1.0
Jublia,relevance,2,1.0
Kawasaki disease,pubdate_desc,1,1.0
Kawasaki disease,pubdate_desc,2,1.0
Kawasaki disease,relevance,1,1.0
Kawasaki disease,relevance,2,1.0
Ketoprofen,pubdate_desc,1,1.0
Ketoprofen,pubdate_desc,2,1.0
Ketoprofen,relevance,1,1.0
Ketoprofen,relevance,2,1.0
Language skills,pubdate_desc,1,1.0
Language skills,pubdate_desc,2,1.0
Language skills,relevance,1,1.0
Language skills,relevance,2,1.0
Lasers,pubdate_desc,1,1.0
Lasers,pubdate_desc,2,1.0
Lasers,relevance,1,1.0
Lasers,relevance,2,1.0
Legionella pneumophila,pubdate_desc,1,1.0
Legionella pneumophila,pubdate_desc,2,1.0
Legionella pneumophila,relevance,1,1.0
Legionella pneumophila,relevance,2,0.9
Leptospira interrogans,pubdate_desc,1,1.0
Leptospira interrogans,pubdate_desc,2,0.9
Leptospira interrogans,relevance,1,1.0
Leptospira interrogans,relevance,2,1.0
Letrozole,pubdate_desc,1,1.0
Letrozole,pubdate_desc,2,1.0
Letrozole,relevance,1,1.0
Letrozole,relevance,2,1.0
Lichen planus,pubdate_desc,1,1.0
Lichen planus,pubdate_desc,2,1.0
Lichen planus,relevance,1,1.0
Lichen planus,relevance,2,0.9
Listeria monocytogenes,pubdate_desc,1,1.0
Listeria monocytogenes,pubdate_desc,2,1.0
Listeria monocytogenes,relevance,1,1.0
Listeria monocytogenes,relevance,2,1.0
Lupus nephritis,pubdate_desc,1,1.0
Lupus nephritis,pubdate_desc,2,1.0
Lupus nephritis,relevance,1,0.8
Lupus nephritis,relevance,2,0.9
MAPK/ERK signalling pathway,pubdate_desc,1,1.0
MAPK/ERK signalling pathway,pubdate_desc,2,1.0
MAPK/ERK signalling pathway,relevance,1,1.0
MAPK/ERK signalling pathway,relevance,2,1.0
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,1,1.0
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,2,1.0
Malignant Peripheral Nerve Sheath Tumors,relevance,1,0.9
Malignant Peripheral Nerve Sheath Tumors,relevance,2,0.9
Masks,pubdate_desc,1,1.0
Masks,pubdate_desc,2,1.0
Masks,relevance,1,0.9
Masks,relevance,2,0.8
McArdle Disease,pubdate_desc,1,0.9
McArdle Disease,pubdate_desc,2,1.0
McArdle Disease,relevance,1,0.9
McArdle Disease,relevance,2,1.0
Mirror Neurons ,pubdate_desc,1,1.0
Mirror Neurons ,pubdate_desc,2,1.0
Mirror Neurons ,relevance,1,0.8
Mirror Neurons ,relevance,2,0.7
Molnupiravir,pubdate_desc,1,1.0
Molnupiravir,pubdate_desc,2,1.0
Molnupiravir,relevance,1,1.0
Molnupiravir,relevance,2,1.0
Morgellons,pubdate_desc,1,1.0
Morgellons,pubdate_desc,2,0.8
Morgellons,relevance,1,0.8
Morgellons,relevance,2,0.9
Moyamoya,pubdate_desc,1,1.0
Moyamoya,pubdate_desc,2,1.0
Moyamoya,relevance,1,0.9
Moyamoya,relevance,2,0.6
Muckle-Wells Syndrome,pubdate_desc,1,1.0
Muckle-Wells Syndrome,pubdate_desc,2,0.9
Muckle-Wells Syndrome,relevance,1,0.9
Muckle-Wells Syndrome,relevance,2,0.8
Muscle Cells ,pubdate_desc,1,1.0
Muscle Cells ,pubdate_desc,2,1.0
Muscle Cells ,relevance,1,0.9
Muscle Cells ,relevance,2,1.0
Myasthenia gravis,pubdate_desc,1,1.0
Myasthenia gravis,pubdate_desc,2,1.0
Myasthenia gravis,relevance,1,0.9
Myasthenia gravis,relevance,2,0.9
Mycobacterium leprae,pubdate_desc,1,1.0
Mycobacterium leprae,pubdate_desc,2,1.0
Mycobacterium leprae,relevance,1,1.0
Mycobacterium leprae,relevance,2,0.8
Mycoplasma pneumoniae,pubdate_desc,1,0.9
Mycoplasma pneumoniae,pubdate_desc,2,1.0
Mycoplasma pneumoniae,relevance,1,0.8
Mycoplasma pneumoniae,relevance,2,1.0
Myeloid Cells ,pubdate_desc,1,1.0
Myeloid Cells ,pubdate_desc,2,1.0
Myeloid Cells ,relevance,1,1.0
Myeloid Cells ,relevance,2,1.0
Myocarditis,pubdate_desc,1,1.0
Myocarditis,pubdate_desc,2,1.0
Myocarditis,relevance,1,0.8
Myocarditis,relevance,2,1.0
Ménière's disease,pubdate_desc,1,1.0
Ménière's disease,pubdate_desc,2,1.0
Ménière's disease,relevance,1,0.8
Ménière's disease,relevance,2,0.8
Nafarelin,pubdate_desc,1,1.0
Nafarelin,pubdate_desc,2,1.0
Nafarelin,relevance,1,0.9
Nafarelin,relevance,2,1.0
Nebulizers,pubdate_desc,1,1.0
Nebulizers,pubdate_desc,2,0.9
Nebulizers,relevance,1,1.0
Nebulizers,relevance,2,1.0
Neisseria gonorrhoeae,pubdate_desc,1,1.0
Neisseria gonorrhoeae,pubdate_desc,2,1.0
Neisseria gonorrhoeae,relevance,1,0.8
Neisseria gonorrhoeae,relevance,2,0.9
"Neoplastic Cells, Circulating",pubdate_desc,1,1.0
"Neoplastic Cells, Circulating",pubdate_desc,2,1.0
"Neoplastic Cells, Circulating",relevance,1,1.0
"Neoplastic Cells, Circulating",relevance,2,1.0
Nerve Fibers ,pubdate_desc,1,1.0
Nerve Fibers ,pubdate_desc,2,1.0
Nerve Fibers ,relevance,1,0.7
Nerve Fibers ,relevance,2,1.0
Neural Analyzers ,pubdate_desc,1,1.0
Neural Analyzers ,pubdate_desc,2,0.8
Neural Analyzers ,relevance,1,0.5
Neural Analyzers ,relevance,2,0.1
Neurofibrils,pubdate_desc,1,1.0
Neurofibrils,pubdate_desc,2,1.0
Neurofibrils,relevance,1,0.9
Neurofibrils,relevance,2,0.8
Neuroglia,pubdate_desc,1,1.0
Neuroglia,pubdate_desc,2,1.0
Neuroglia,relevance,1,0.9
Neuroglia,relevance,2,0.8
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,1.0
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2,0.9
Neuromyelitis Optica Spectrum Disorder,relevance,1,0.9
Neuromyelitis Optica Spectrum Disorder,relevance,2,0.7
Neurons,pubdate_desc,1,1.0
Neurons,pubdate_desc,2,1.0
Neurons,relevance,1,1.0
Neurons,relevance,2,0.8
"Neurons, Afferent ",pubdate_desc,1,1.0
"Neurons, Afferent ",pubdate_desc,2,1.0
"Neurons, Afferent ",relevance,1,1.0
"Neurons, Afferent ",relevance,2,1.0
"Neurons, Efferent",pubdate_desc,1,1.0
"Neurons, Efferent",pubdate_desc,2,1.0
"Neurons, Efferent",relevance,1,0.9
"Neurons, Efferent",relevance,2,1.0
Neuropil ,pubdate_desc,1,1.0
Neuropil ,pubdate_desc,2,1.0
Neuropil ,relevance,1,1.0
Neuropil ,relevance,2,1.0
Nissl Bodies ,pubdate_desc,1,0.8
Nissl Bodies ,pubdate_desc,2,1.0
Nissl Bodies ,relevance,1,1.0
Nissl Bodies ,relevance,2,0.9
Nitrergic Neurons ,pubdate_desc,1,1.0
Nitrergic Neurons ,pubdate_desc,2,1.0
Nitrergic Neurons ,relevance,1,1.0
Nitrergic Neurons ,relevance,2,1.0
Nodal signalling pathway,pubdate_desc,1,1.0
Nodal signalling pathway,pubdate_desc,2,1.0
Nodal signalling pathway,relevance,1,1.0
Nodal signalling pathway,relevance,2,1.0
Notch signalling pathway,pubdate_desc,1,1.0
Notch signalling pathway,pubdate_desc,2,1.0
Notch signalling pathway,relevance,1,1.0
Notch signalling pathway,relevance,2,1.0
Occlusive Dressings,pubdate_desc,1,0.9
Occlusive Dressings,pubdate_desc,2,1.0
Occlusive Dressings,relevance,1,0.9
Occlusive Dressings,relevance,2,0.9
Ord's thyroiditis,pubdate_desc,1,1.0
Ord's thyroiditis,relevance,1,1.0
Otoscopes,pubdate_desc,1,1.0
Otoscopes,pubdate_desc,2,1.0
Otoscopes,relevance,1,0.875
Otoscopes,relevance,2,0.8
Oxazepam,pubdate_desc,1,1.0
Oxazepam,pubdate_desc,2,1.0
Oxazepam,relevance,1,1.0
Oxazepam,relevance,2,0.9
Oxygenators,pubdate_desc,1,1.0
Oxygenators,pubdate_desc,2,1.0
Oxygenators,relevance,1,0.8
Oxygenators,relevance,2,1.0
Oxyphil Cells,pubdate_desc,1,1.0
Oxyphil Cells,pubdate_desc,2,1.0
Oxyphil Cells,relevance,1,1.0
Oxyphil Cells,relevance,2,1.0
PI3K/AKT/mTOR signalling pathway,pubdate_desc,1,1.0
PI3K/AKT/mTOR signalling pathway,pubdate_desc,2,1.0
PI3K/AKT/mTOR signalling pathway,relevance,1,1.0
PI3K/AKT/mTOR signalling pathway,relevance,2,0.8
Pachygyria,pubdate_desc,1,1.0
Pachygyria,pubdate_desc,2,1.0
Pachygyria,relevance,1,1.0
Pachygyria,relevance,2,0.9
Pachyonychia Congenita,pubdate_desc,1,1.0
Pachyonychia Congenita,pubdate_desc,2,1.0
Pachyonychia Congenita,relevance,1,1.0
Pachyonychia Congenita,relevance,2,1.0
Pallister-Hall Syndrome,pubdate_desc,1,1.0
Pallister-Hall Syndrome,pubdate_desc,2,1.0
Pallister-Hall Syndrome,relevance,1,0.7777777777777778
Pallister-Hall Syndrome,relevance,2,0.9
Pallister-Killian Syndrome,pubdate_desc,1,0.8888888888888888
Pallister-Killian Syndrome,pubdate_desc,2,0.8
Pallister-Killian Syndrome,relevance,1,0.9
Pallister-Killian Syndrome,relevance,2,1.0
Pancreatic Stellate Cells,pubdate_desc,1,1.0
Pancreatic Stellate Cells,pubdate_desc,2,1.0
Pancreatic Stellate Cells,relevance,1,1.0
Pancreatic Stellate Cells,relevance,2,1.0
Panhypopituitarism,pubdate_desc,1,1.0
Panhypopituitarism,pubdate_desc,2,1.0
Panhypopituitarism,relevance,1,1.0
Panhypopituitarism,relevance,2,0.8
Papillon-Lefevre Syndrome,pubdate_desc,1,0.9
Papillon-Lefevre Syndrome,pubdate_desc,2,1.0
Papillon-Lefevre Syndrome,relevance,1,0.9
Papillon-Lefevre Syndrome,relevance,2,0.8
Paramyotonia Congenita,pubdate_desc,1,1.0
Paramyotonia Congenita,pubdate_desc,2,1.0
Paramyotonia Congenita,relevance,1,0.8
Paramyotonia Congenita,relevance,2,0.7
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,1.0
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2,0.9
Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,0.7777777777777778
Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,0.9
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1,0.9
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2,0.9
Paraneoplastic Limbic Encephalitis (PLE),relevance,1,0.8
Paraneoplastic Limbic Encephalitis (PLE),relevance,2,0.9
Parapsoriasis,pubdate_desc,1,1.0
Parapsoriasis,pubdate_desc,2,1.0
Parapsoriasis,relevance,1,0.8
Parapsoriasis,relevance,2,0.8
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,1,1.0
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,2,1.0
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,1,1.0
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,2,0.9
Peripartum Cardiomyopathy,pubdate_desc,1,1.0
Peripartum Cardiomyopathy,pubdate_desc,2,0.8888888888888888
Peripartum Cardiomyopathy,relevance,1,1.0
Peripartum Cardiomyopathy,relevance,2,0.9
Perphenazine,pubdate_desc,1,0.9
Perphenazine,pubdate_desc,2,1.0
Perphenazine,relevance,1,1.0
Perphenazine,relevance,2,0.9
Phagocytes ,pubdate_desc,1,1.0
Phagocytes ,pubdate_desc,2,1.0
Phagocytes ,relevance,1,1.0
Phagocytes ,relevance,2,1.0
Primary sclerosing cholangitis,pubdate_desc,1,1.0
Primary sclerosing cholangitis,pubdate_desc,2,0.8888888888888888
Primary sclerosing cholangitis,relevance,1,0.9
Primary sclerosing cholangitis,relevance,2,0.9
Pseudomonas aeruginosa,pubdate_desc,1,1.0
Pseudomonas aeruginosa,pubdate_desc,2,1.0
Pseudomonas aeruginosa,relevance,1,1.0
Pseudomonas aeruginosa,relevance,2,0.9
Purkinje Cells ,pubdate_desc,1,1.0
Purkinje Cells ,pubdate_desc,2,1.0
Purkinje Cells ,relevance,1,1.0
Purkinje Cells ,relevance,2,1.0
Pyramidal Cells,pubdate_desc,1,1.0
Pyramidal Cells,pubdate_desc,2,1.0
Pyramidal Cells,relevance,1,1.0
Pyramidal Cells,relevance,2,1.0
Quetiapine,pubdate_desc,1,1.0
Quetiapine,pubdate_desc,2,1.0
Quetiapine,relevance,1,0.8
Quetiapine,relevance,2,0.9
Rheumatoid arthritis,pubdate_desc,1,1.0
Rheumatoid arthritis,pubdate_desc,2,1.0
Rheumatoid arthritis,relevance,1,0.9
Rheumatoid arthritis,relevance,2,0.7
Rickettsia rickettsii,pubdate_desc,1,1.0
Rickettsia rickettsii,pubdate_desc,2,1.0
Rickettsia rickettsii,relevance,1,1.0
Rickettsia rickettsii,relevance,2,1.0
Rubber Dams,pubdate_desc,1,1.0
Rubber Dams,pubdate_desc,2,1.0
Rubber Dams,relevance,1,0.9
Rubber Dams,relevance,2,1.0
Rufinamide,pubdate_desc,1,1.0
Rufinamide,pubdate_desc,2,0.8888888888888888
Rufinamide,relevance,1,1.0
Rufinamide,relevance,2,1.0
Safe housing,pubdate_desc,1,1.0
Safe housing,pubdate_desc,2,0.8888888888888888
Safe housing,relevance,1,1.0
Safe housing,relevance,2,1.0
Salmonella typhi,pubdate_desc,1,1.0
Salmonella typhi,pubdate_desc,2,1.0
Salmonella typhi,relevance,1,1.0
Salmonella typhi,relevance,2,1.0
Sarcoidosis,pubdate_desc,1,1.0
Sarcoidosis,pubdate_desc,2,1.0
Sarcoidosis,relevance,1,0.9
Sarcoidosis,relevance,2,0.8
Saxagliptin,pubdate_desc,1,0.9
Saxagliptin,pubdate_desc,2,1.0
Saxagliptin,relevance,1,1.0
Saxagliptin,relevance,2,1.0
Scleritis,pubdate_desc,1,1.0
Scleritis,pubdate_desc,2,1.0
Scleritis,relevance,1,0.7
Scleritis,relevance,2,0.8
Serotonergic Neurons ,pubdate_desc,1,1.0
Serotonergic Neurons ,pubdate_desc,2,1.0
Serotonergic Neurons ,relevance,1,1.0
Serotonergic Neurons ,relevance,2,0.8
Shigella sonnei,pubdate_desc,1,0.9
Shigella sonnei,pubdate_desc,2,1.0
Shigella sonnei,relevance,1,0.9
Shigella sonnei,relevance,2,1.0
Sjogren’s Syndrome,pubdate_desc,1,1.0
Sjogren’s Syndrome,pubdate_desc,2,1.0
Sjogren’s Syndrome,relevance,1,0.9
Sjogren’s Syndrome,relevance,2,0.6
Smith-Magenis Syndrome,pubdate_desc,1,0.7777777777777778
Smith-Magenis Syndrome,pubdate_desc,2,0.9
Smith-Magenis Syndrome,relevance,1,0.7777777777777778
Smith-Magenis Syndrome,relevance,2,0.9
Staphylococcus aureus,pubdate_desc,1,1.0
Staphylococcus aureus,pubdate_desc,2,1.0
Staphylococcus aureus,relevance,1,1.0
Staphylococcus aureus,relevance,2,0.9
Streptococcus agalactiae,pubdate_desc,1,1.0
Streptococcus agalactiae,pubdate_desc,2,0.8888888888888888
Streptococcus agalactiae,relevance,1,1.0
Streptococcus agalactiae,relevance,2,0.8
Suprachiasmatic Nucleus Neurons ,pubdate_desc,1,1.0
Suprachiasmatic Nucleus Neurons ,pubdate_desc,2,1.0
Suprachiasmatic Nucleus Neurons ,relevance,1,0.9
Suprachiasmatic Nucleus Neurons ,relevance,2,1.0
Surgical Mesh,pubdate_desc,1,1.0
Surgical Mesh,pubdate_desc,2,1.0
Surgical Mesh,relevance,1,1.0
Surgical Mesh,relevance,2,1.0
Syringes,pubdate_desc,1,1.0
Syringes,pubdate_desc,2,1.0
Syringes,relevance,1,1.0
Syringes,relevance,2,0.9
Syringomyelia,pubdate_desc,1,1.0
Syringomyelia,pubdate_desc,2,1.0
Syringomyelia,relevance,1,0.9
Syringomyelia,relevance,2,0.8
Systemic Capillary Leak Syndrome,pubdate_desc,1,0.9
Systemic Capillary Leak Syndrome,pubdate_desc,2,1.0
Systemic Capillary Leak Syndrome,relevance,1,0.9
Systemic Capillary Leak Syndrome,relevance,2,1.0
TFE3-Associated Neurodevelopmental Disorder,pubdate_desc,1,1.0
TFE3-Associated Neurodevelopmental Disorder,relevance,1,1.0
TGF beta signalling pathway,pubdate_desc,1,1.0
TGF beta signalling pathway,pubdate_desc,2,1.0
TGF beta signalling pathway,relevance,1,1.0
TGF beta signalling pathway,relevance,2,1.0
TLR signalling pathway,pubdate_desc,1,1.0
TLR signalling pathway,pubdate_desc,2,1.0
TLR signalling pathway,relevance,1,1.0
TLR signalling pathway,relevance,2,1.0
