query,search_type,page,country_code
GABAergic Neurons ,relevance,2,0.8
Gastric Balloon,pubdate_desc,1,0.7
Gastric Balloon,pubdate_desc,2,0.6
Gastric Balloon,relevance,1,0.9
Gastric Balloon,relevance,2,0.7
Gefitinib,pubdate_desc,1,0.7
Gefitinib,pubdate_desc,2,0.6
Gefitinib,relevance,1,0.9
Gefitinib,relevance,2,0.7
Graves' ophthalmopathy,pubdate_desc,1,0.6
Graves' ophthalmopathy,pubdate_desc,2,0.4
Graves' ophthalmopathy,relevance,1,0.2
Graves' ophthalmopathy,relevance,2,0.3
Grid Cells ,pubdate_desc,1,0.2
Grid Cells ,pubdate_desc,2,0.7
Grid Cells ,relevance,1,0.9
Grid Cells ,relevance,2,1.0
Guillain–Barré syndrome,pubdate_desc,1,0.4
Guillain–Barré syndrome,pubdate_desc,2,0.3
Guillain–Barré syndrome,relevance,1,0.8
Guillain–Barré syndrome,relevance,2,0.3
Haemophilus influenzae,pubdate_desc,1,1.0
Haemophilus influenzae,pubdate_desc,2,0.6
Haemophilus influenzae,relevance,1,0.6
Haemophilus influenzae,relevance,2,0.8
Hedgehog signalling pathway,pubdate_desc,1,0.7
Hedgehog signalling pathway,pubdate_desc,2,0.7
Hedgehog signalling pathway,relevance,1,0.6
Hedgehog signalling pathway,relevance,2,0.8
Helicobacter pylori,pubdate_desc,1,0.9
Helicobacter pylori,pubdate_desc,2,0.9
Helicobacter pylori,relevance,1,0.8
Helicobacter pylori,relevance,2,0.8
Hippo signalling pathway,pubdate_desc,1,0.7
Hippo signalling pathway,pubdate_desc,2,0.7
Hippo signalling pathway,relevance,1,0.8
Hippo signalling pathway,relevance,2,0.7
Hydroxyzine,pubdate_desc,1,0.6
Hydroxyzine,pubdate_desc,2,0.5
Hydroxyzine,relevance,1,0.8
Hydroxyzine,relevance,2,0.7
Imipramine,pubdate_desc,1,0.6
Imipramine,pubdate_desc,2,0.6
Imipramine,relevance,1,0.8
Imipramine,relevance,2,0.8
Incubators,pubdate_desc,1,0.8
Incubators,pubdate_desc,2,1.0
Incubators,relevance,1,0.8
Incubators,relevance,2,0.6
Infusion Pumps,pubdate_desc,1,0.7
Infusion Pumps,pubdate_desc,2,0.7
Infusion Pumps,relevance,1,0.7
Infusion Pumps,relevance,2,0.7
Insulin signal transduction pathway,pubdate_desc,1,0.7
Insulin signal transduction pathway,pubdate_desc,2,0.6
Insulin signal transduction pathway,relevance,1,0.6
Insulin signal transduction pathway,relevance,2,0.6
Interneurons ,pubdate_desc,1,1.0
Interneurons ,pubdate_desc,2,0.9
Interneurons ,relevance,1,0.8
Interneurons ,relevance,2,0.7
Intrauterine Devices,pubdate_desc,1,0.8
Intrauterine Devices,pubdate_desc,2,0.7
Intrauterine Devices,relevance,1,1.0
Intrauterine Devices,relevance,2,1.0
JAK-STAT signalling pathway,pubdate_desc,1,0.4
JAK-STAT signalling pathway,pubdate_desc,2,0.7
JAK-STAT signalling pathway,relevance,1,0.7
JAK-STAT signalling pathway,relevance,2,1.0
Jublia,pubdate_desc,1,0.4
Jublia,pubdate_desc,2,0.8
Jublia,relevance,1,0.5
Jublia,relevance,2,0.8
Kawasaki disease,pubdate_desc,1,0.8
Kawasaki disease,pubdate_desc,2,0.4
Kawasaki disease,relevance,1,0.8
Kawasaki disease,relevance,2,0.7
Ketoprofen,pubdate_desc,1,0.7
Ketoprofen,pubdate_desc,2,0.4
Ketoprofen,relevance,1,0.2
Ketoprofen,relevance,2,0.6
Language skills,pubdate_desc,1,0.8
Language skills,pubdate_desc,2,0.8
Language skills,relevance,1,0.8
Language skills,relevance,2,1.0
Lasers,pubdate_desc,1,0.8
Lasers,pubdate_desc,2,0.5
Lasers,relevance,1,0.9
Lasers,relevance,2,0.9
Legionella pneumophila,pubdate_desc,1,0.7
Legionella pneumophila,pubdate_desc,2,0.6
Legionella pneumophila,relevance,1,0.7
Legionella pneumophila,relevance,2,0.6
Leptospira interrogans,pubdate_desc,1,0.4
Leptospira interrogans,pubdate_desc,2,0.5
Leptospira interrogans,relevance,1,0.6
Leptospira interrogans,relevance,2,0.8
Letrozole,pubdate_desc,1,0.8
Letrozole,pubdate_desc,2,0.6
Letrozole,relevance,1,0.7
Letrozole,relevance,2,0.8
Lichen planus,pubdate_desc,1,1.0
Lichen planus,pubdate_desc,2,0.6
Lichen planus,relevance,1,0.9
Lichen planus,relevance,2,0.5
Listeria monocytogenes,pubdate_desc,1,0.9
Listeria monocytogenes,pubdate_desc,2,0.7
Listeria monocytogenes,relevance,1,0.8
Listeria monocytogenes,relevance,2,0.6
Lupus nephritis,pubdate_desc,1,0.9
Lupus nephritis,pubdate_desc,2,0.8
Lupus nephritis,relevance,1,0.7
Lupus nephritis,relevance,2,0.8
MAPK/ERK signalling pathway,pubdate_desc,1,0.5
MAPK/ERK signalling pathway,pubdate_desc,2,0.5
MAPK/ERK signalling pathway,relevance,1,0.4
MAPK/ERK signalling pathway,relevance,2,0.5
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,1,0.7
Malignant Peripheral Nerve Sheath Tumors,pubdate_desc,2,0.6
Malignant Peripheral Nerve Sheath Tumors,relevance,1,0.7
Malignant Peripheral Nerve Sheath Tumors,relevance,2,0.5
Masks,pubdate_desc,1,0.7
Masks,pubdate_desc,2,0.7
Masks,relevance,1,0.7
Masks,relevance,2,0.7
McArdle Disease,pubdate_desc,1,0.7
McArdle Disease,pubdate_desc,2,0.8
McArdle Disease,relevance,1,0.6
McArdle Disease,relevance,2,0.8
Mirror Neurons ,pubdate_desc,1,0.6
Mirror Neurons ,pubdate_desc,2,0.4
Mirror Neurons ,relevance,1,0.8
Mirror Neurons ,relevance,2,0.7
Molnupiravir,pubdate_desc,1,0.7
Molnupiravir,pubdate_desc,2,0.7
Molnupiravir,relevance,1,0.7
Molnupiravir,relevance,2,0.7
Morgellons,pubdate_desc,1,0.9
Morgellons,pubdate_desc,2,0.5
Morgellons,relevance,1,0.5
Morgellons,relevance,2,0.7
Moyamoya,pubdate_desc,1,0.9
Moyamoya,pubdate_desc,2,0.6
Moyamoya,relevance,1,0.5
Moyamoya,relevance,2,0.4
Muckle-Wells Syndrome,pubdate_desc,1,0.5
Muckle-Wells Syndrome,pubdate_desc,2,0.5
Muckle-Wells Syndrome,relevance,1,0.4
Muckle-Wells Syndrome,relevance,2,0.5
Muscle Cells ,pubdate_desc,1,0.9
Muscle Cells ,pubdate_desc,2,0.6
Muscle Cells ,relevance,1,0.6
Muscle Cells ,relevance,2,0.5
Myasthenia gravis,pubdate_desc,1,0.6
Myasthenia gravis,pubdate_desc,2,0.4
Myasthenia gravis,relevance,1,0.7
Myasthenia gravis,relevance,2,0.6
Mycobacterium leprae,pubdate_desc,1,0.9
Mycobacterium leprae,pubdate_desc,2,0.7
Mycobacterium leprae,relevance,1,0.7
Mycobacterium leprae,relevance,2,0.3
Mycoplasma pneumoniae,pubdate_desc,1,0.8
Mycoplasma pneumoniae,pubdate_desc,2,0.5
Mycoplasma pneumoniae,relevance,1,0.7
Mycoplasma pneumoniae,relevance,2,0.8
Myeloid Cells ,pubdate_desc,1,0.8
Myeloid Cells ,pubdate_desc,2,1.0
Myeloid Cells ,relevance,1,0.7
Myeloid Cells ,relevance,2,0.2
Myocarditis,pubdate_desc,1,0.4
Myocarditis,pubdate_desc,2,0.8
Myocarditis,relevance,1,0.8
Myocarditis,relevance,2,0.8
Ménière's disease,pubdate_desc,1,0.4
Ménière's disease,pubdate_desc,2,0.3
Ménière's disease,relevance,1,0.5
Ménière's disease,relevance,2,0.7
Nafarelin,pubdate_desc,1,0.6
Nafarelin,pubdate_desc,2,0.5
Nafarelin,relevance,1,0.8
Nafarelin,relevance,2,0.7
Nebulizers,pubdate_desc,1,0.8
Nebulizers,pubdate_desc,2,0.7
Nebulizers,relevance,1,1.0
Nebulizers,relevance,2,0.8
Neisseria gonorrhoeae,pubdate_desc,1,0.9
Neisseria gonorrhoeae,pubdate_desc,2,0.8
Neisseria gonorrhoeae,relevance,1,0.6
Neisseria gonorrhoeae,relevance,2,0.8
"Neoplastic Cells, Circulating",pubdate_desc,1,0.6
"Neoplastic Cells, Circulating",pubdate_desc,2,0.7
"Neoplastic Cells, Circulating",relevance,1,0.7
"Neoplastic Cells, Circulating",relevance,2,1.0
Nerve Fibers ,pubdate_desc,1,0.5
Nerve Fibers ,pubdate_desc,2,0.8
Nerve Fibers ,relevance,1,0.2
Nerve Fibers ,relevance,2,0.7
Neural Analyzers ,pubdate_desc,1,0.7
Neural Analyzers ,pubdate_desc,2,0.5
Neural Analyzers ,relevance,1,0.2
Neural Analyzers ,relevance,2,0.1
Neurofibrils,pubdate_desc,1,0.8
Neurofibrils,pubdate_desc,2,0.7
Neurofibrils,relevance,1,0.4
Neurofibrils,relevance,2,0.5
Neuroglia,pubdate_desc,1,0.6
Neuroglia,pubdate_desc,2,0.8
Neuroglia,relevance,1,0.4
Neuroglia,relevance,2,0.5
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1,0.4
Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2,0.8
Neuromyelitis Optica Spectrum Disorder,relevance,1,0.5
Neuromyelitis Optica Spectrum Disorder,relevance,2,0.4
Neurons,pubdate_desc,1,0.7
Neurons,pubdate_desc,2,0.9
Neurons,relevance,1,1.0
Neurons,relevance,2,0.8
"Neurons, Afferent ",pubdate_desc,1,0.9
"Neurons, Afferent ",pubdate_desc,2,0.8
"Neurons, Afferent ",relevance,1,0.5
"Neurons, Afferent ",relevance,2,1.0
"Neurons, Efferent",pubdate_desc,1,0.9
"Neurons, Efferent",pubdate_desc,2,0.9
"Neurons, Efferent",relevance,1,0.7
"Neurons, Efferent",relevance,2,0.6
Neuropil ,pubdate_desc,1,1.0
Neuropil ,pubdate_desc,2,0.9
Neuropil ,relevance,1,0.8
Neuropil ,relevance,2,0.8
Nissl Bodies ,pubdate_desc,1,0.5
Nissl Bodies ,pubdate_desc,2,0.6
Nissl Bodies ,relevance,1,0.8
Nissl Bodies ,relevance,2,0.6
Nitrergic Neurons ,pubdate_desc,1,0.6
Nitrergic Neurons ,pubdate_desc,2,0.7
Nitrergic Neurons ,relevance,1,0.6
Nitrergic Neurons ,relevance,2,0.5
Nodal signalling pathway,pubdate_desc,1,0.9
Nodal signalling pathway,pubdate_desc,2,1.0
Nodal signalling pathway,relevance,1,0.8
Nodal signalling pathway,relevance,2,0.9
Notch signalling pathway,pubdate_desc,1,0.5
Notch signalling pathway,pubdate_desc,2,1.0
Notch signalling pathway,relevance,1,1.0
Notch signalling pathway,relevance,2,0.8
Occlusive Dressings,pubdate_desc,1,0.8
Occlusive Dressings,pubdate_desc,2,0.7
Occlusive Dressings,relevance,1,0.9
Occlusive Dressings,relevance,2,0.8
Ord's thyroiditis,pubdate_desc,1,1.0
Ord's thyroiditis,relevance,1,1.0
Otoscopes,pubdate_desc,1,0.7
Otoscopes,pubdate_desc,2,0.7
Otoscopes,relevance,1,0.5
Otoscopes,relevance,2,0.3
Oxazepam,pubdate_desc,1,0.5
Oxazepam,pubdate_desc,2,0.4
Oxazepam,relevance,1,0.5
Oxazepam,relevance,2,0.6
Oxygenators,pubdate_desc,1,0.6
Oxygenators,pubdate_desc,2,0.7
Oxygenators,relevance,1,0.6
Oxygenators,relevance,2,0.7
Oxyphil Cells,pubdate_desc,1,0.6
Oxyphil Cells,pubdate_desc,2,0.6
Oxyphil Cells,relevance,1,0.5
Oxyphil Cells,relevance,2,0.5
PI3K/AKT/mTOR signalling pathway,pubdate_desc,1,0.6
PI3K/AKT/mTOR signalling pathway,pubdate_desc,2,0.7
PI3K/AKT/mTOR signalling pathway,relevance,1,0.4
PI3K/AKT/mTOR signalling pathway,relevance,2,0.6
Pachygyria,pubdate_desc,1,0.7
Pachygyria,pubdate_desc,2,0.3
Pachygyria,relevance,1,0.7
Pachygyria,relevance,2,0.7
Pachyonychia Congenita,pubdate_desc,1,0.6
Pachyonychia Congenita,pubdate_desc,2,0.8
Pachyonychia Congenita,relevance,1,0.9
Pachyonychia Congenita,relevance,2,0.9
Pallister-Hall Syndrome,pubdate_desc,1,0.7
Pallister-Hall Syndrome,pubdate_desc,2,0.4
Pallister-Hall Syndrome,relevance,1,0.5
Pallister-Hall Syndrome,relevance,2,0.6
Pallister-Killian Syndrome,pubdate_desc,1,0.4
Pallister-Killian Syndrome,pubdate_desc,2,0.3
Pallister-Killian Syndrome,relevance,1,0.6
Pallister-Killian Syndrome,relevance,2,0.7
Pancreatic Stellate Cells,pubdate_desc,1,0.6
Pancreatic Stellate Cells,pubdate_desc,2,0.7
Pancreatic Stellate Cells,relevance,1,0.6
Pancreatic Stellate Cells,relevance,2,0.7
Panhypopituitarism,pubdate_desc,1,0.5
Panhypopituitarism,pubdate_desc,2,0.7
Panhypopituitarism,relevance,1,0.4
Panhypopituitarism,relevance,2,0.5
Papillon-Lefevre Syndrome,pubdate_desc,1,0.5
Papillon-Lefevre Syndrome,pubdate_desc,2,0.4
Papillon-Lefevre Syndrome,relevance,1,0.1
Papillon-Lefevre Syndrome,relevance,2,0.5
Paramyotonia Congenita,pubdate_desc,1,0.8
Paramyotonia Congenita,pubdate_desc,2,0.5
Paramyotonia Congenita,relevance,1,0.5
Paramyotonia Congenita,relevance,2,0.5
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1,0.7
Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2,0.5
Paraneoplastic Cerebellar Degeneration (PCD),relevance,1,0.3
Paraneoplastic Cerebellar Degeneration (PCD),relevance,2,0.6
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1,0.6
Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2,0.7
Paraneoplastic Limbic Encephalitis (PLE),relevance,1,0.6
Paraneoplastic Limbic Encephalitis (PLE),relevance,2,0.6
Parapsoriasis,pubdate_desc,1,0.7
Parapsoriasis,pubdate_desc,2,0.9
Parapsoriasis,relevance,1,0.7
Parapsoriasis,relevance,2,0.8
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,1,0.5
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),pubdate_desc,2,0.5
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,1,0.8
Pediatric Autoimmune Neuropsychiatric Disorder Associated with Streptococcus (PANDAS),relevance,2,0.6
Peripartum Cardiomyopathy,pubdate_desc,1,0.6
Peripartum Cardiomyopathy,pubdate_desc,2,0.5
Peripartum Cardiomyopathy,relevance,1,0.9
Peripartum Cardiomyopathy,relevance,2,0.7
Perphenazine,pubdate_desc,1,0.7
Perphenazine,pubdate_desc,2,0.5
Perphenazine,relevance,1,0.9
Perphenazine,relevance,2,0.7
Phagocytes ,pubdate_desc,1,0.9
Phagocytes ,pubdate_desc,2,0.9
Phagocytes ,relevance,1,0.9
Phagocytes ,relevance,2,0.7
Primary sclerosing cholangitis,pubdate_desc,1,0.7
Primary sclerosing cholangitis,pubdate_desc,2,0.5
Primary sclerosing cholangitis,relevance,1,0.6
Primary sclerosing cholangitis,relevance,2,0.6
Pseudomonas aeruginosa,pubdate_desc,1,0.9
Pseudomonas aeruginosa,pubdate_desc,2,0.7
Pseudomonas aeruginosa,relevance,1,0.6
Pseudomonas aeruginosa,relevance,2,0.4
Purkinje Cells ,pubdate_desc,1,0.9
Purkinje Cells ,pubdate_desc,2,0.6
Purkinje Cells ,relevance,1,0.9
Purkinje Cells ,relevance,2,0.7
Pyramidal Cells,pubdate_desc,1,0.8
Pyramidal Cells,pubdate_desc,2,0.9
Pyramidal Cells,relevance,1,0.9
Pyramidal Cells,relevance,2,0.7
Quetiapine,pubdate_desc,1,0.8
Quetiapine,pubdate_desc,2,0.7
Quetiapine,relevance,1,0.6
Quetiapine,relevance,2,0.6
Rheumatoid arthritis,pubdate_desc,1,0.7
Rheumatoid arthritis,pubdate_desc,2,0.6
Rheumatoid arthritis,relevance,1,0.7
Rheumatoid arthritis,relevance,2,0.5
Rickettsia rickettsii,pubdate_desc,1,0.5
Rickettsia rickettsii,pubdate_desc,2,0.3
Rickettsia rickettsii,relevance,1,0.8
Rickettsia rickettsii,relevance,2,0.7
Rubber Dams,pubdate_desc,1,0.8
Rubber Dams,pubdate_desc,2,0.6
Rubber Dams,relevance,1,0.7
Rubber Dams,relevance,2,0.8
Rufinamide,pubdate_desc,1,0.6
Rufinamide,pubdate_desc,2,0.8
Rufinamide,relevance,1,0.3
Rufinamide,relevance,2,0.6
Safe housing,pubdate_desc,1,0.4
Safe housing,pubdate_desc,2,0.7
Safe housing,relevance,1,0.6
Safe housing,relevance,2,0.7
Salmonella typhi,pubdate_desc,1,0.5
Salmonella typhi,pubdate_desc,2,0.7
Salmonella typhi,relevance,1,0.9
Salmonella typhi,relevance,2,0.9
Sarcoidosis,pubdate_desc,1,0.6
Sarcoidosis,pubdate_desc,2,0.9
Sarcoidosis,relevance,1,0.6
Sarcoidosis,relevance,2,0.5
Saxagliptin,pubdate_desc,1,0.6
Saxagliptin,pubdate_desc,2,0.6
Saxagliptin,relevance,1,0.5
Saxagliptin,relevance,2,0.8
Scleritis,pubdate_desc,1,0.9
Scleritis,pubdate_desc,2,0.8
Scleritis,relevance,1,0.5
Scleritis,relevance,2,0.7
Serotonergic Neurons ,pubdate_desc,1,1.0
Serotonergic Neurons ,pubdate_desc,2,0.6
Serotonergic Neurons ,relevance,1,0.6
Serotonergic Neurons ,relevance,2,0.6
Shigella sonnei,pubdate_desc,1,0.4
Shigella sonnei,pubdate_desc,2,0.6
Shigella sonnei,relevance,1,0.4
Shigella sonnei,relevance,2,0.5
Sjogren’s Syndrome,pubdate_desc,1,0.6
Sjogren’s Syndrome,pubdate_desc,2,0.4
Sjogren’s Syndrome,relevance,1,0.7
Sjogren’s Syndrome,relevance,2,0.2
Smith-Magenis Syndrome,pubdate_desc,1,0.5
Smith-Magenis Syndrome,pubdate_desc,2,0.7
Smith-Magenis Syndrome,relevance,1,0.3
Smith-Magenis Syndrome,relevance,2,0.4
Staphylococcus aureus,pubdate_desc,1,0.6
Staphylococcus aureus,pubdate_desc,2,0.8
Staphylococcus aureus,relevance,1,0.4
Staphylococcus aureus,relevance,2,0.6
Streptococcus agalactiae,pubdate_desc,1,0.7
Streptococcus agalactiae,pubdate_desc,2,0.8
Streptococcus agalactiae,relevance,1,0.9
Streptococcus agalactiae,relevance,2,0.5
Suprachiasmatic Nucleus Neurons ,pubdate_desc,1,0.6
Suprachiasmatic Nucleus Neurons ,pubdate_desc,2,0.9
Suprachiasmatic Nucleus Neurons ,relevance,1,0.8
Suprachiasmatic Nucleus Neurons ,relevance,2,0.7
Surgical Mesh,pubdate_desc,1,0.7
Surgical Mesh,pubdate_desc,2,0.4
Surgical Mesh,relevance,1,0.6
Surgical Mesh,relevance,2,0.8
Syringes,pubdate_desc,1,0.5
Syringes,pubdate_desc,2,0.7
Syringes,relevance,1,0.8
Syringes,relevance,2,0.8
Syringomyelia,pubdate_desc,1,0.4
Syringomyelia,pubdate_desc,2,0.5
Syringomyelia,relevance,1,0.7
Syringomyelia,relevance,2,0.7
Systemic Capillary Leak Syndrome,pubdate_desc,1,0.6
Systemic Capillary Leak Syndrome,pubdate_desc,2,0.7
Systemic Capillary Leak Syndrome,relevance,1,0.8
Systemic Capillary Leak Syndrome,relevance,2,0.7
TFE3-Associated Neurodevelopmental Disorder,pubdate_desc,1,1.0
TFE3-Associated Neurodevelopmental Disorder,relevance,1,1.0
TGF beta signalling pathway,pubdate_desc,1,0.8
TGF beta signalling pathway,pubdate_desc,2,0.3
TGF beta signalling pathway,relevance,1,0.8
TGF beta signalling pathway,relevance,2,0.6
TLR signalling pathway,pubdate_desc,1,0.7
TLR signalling pathway,pubdate_desc,2,0.7
TLR signalling pathway,relevance,1,0.9
TLR signalling pathway,relevance,2,0.7
Transverse myelitis,pubdate_desc,1,0.5
Transverse myelitis,pubdate_desc,2,0.4
Transverse myelitis,relevance,1,0.9
Transverse myelitis,relevance,2,0.6
